corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
fpul,415,10709,180,0
licn,934,146,302,0
tjbl,63,415,507,0
wbxo,2509,577,155,1
jvtz,71,148,310,1
owdm,80,8134,20,1
xmac,3487,68,441,1
rykp,30,1830,16,0
kxih,4473,2,3,1
dedp,90,591,96,1
nhwb,2,35,21,0
robw,906,6094,1,1
assp,2690,161,3855,1
ahdx,86,592,85,1
evdm,219,298,13,1
cfcj,2560,326,246,1
rqld,1904,147,1054,1
iqop,65,352,15,0
eawv,38,99,2,1
uuiy,1633,6430,1309,1
lnvu,721,505,14,1
nrqi,2350,985,53,0
itmp,51,7310,6,0
xpdw,15,164,86,0
jbjx,32,147,18,1
ppjh,4022,57,393,1
qhnw,48,332,13,0
nqtn,66,98,21,0
hsat,21,98,123,1
plmf,817,89,602,0
lzdy,89,993,67,1
jgjj,47,5852,307,1
hnpn,2866,121,223,0
pbgp,3579,62,191,1
hkto,1520,61,114,0
lyyp,72,522,190,0
ymgm,1024,257,5,1
fjhz,60,190,21,0
yjde,48,385,170,1
wszg,4260,2839,435,0
sosz,20,268,227,1
holi,1743,270,14,1
eibs,64,9963,207,0
ldfl,4825,198,5,1
nbry,33638,670,15,0
sqhr,95,899,22,0
qmfl,500,153,24,1
vqwy,4711,1245,17,0
vudp,620,346,155,1
mtmr,4126,57,15,0
crmx,334,360,0,0
szgt,60,5470,255,0
rywh,83,114,29,0
czrr,3081,45,16,1
gqrg,6,205,182,1
ymsq,80,8234,3511,1
jvbk,59,1060,14,1
ivgs,2296,147,104,1
jeow,68264,165,120,0
ylss,4636,589,617,1
yzbh,1,15,13,0
udva,54,246,235,0
esfa,14,259,12,1
xhlc,2177,5841,1658,0
qxdu,1918,689,3,0
kncl,23,211,358,1
hwlp,2177,397,8,0
amdy,6,104,25,0
wkcp,1875,236,11,0
flua,428,27,402,0
ytvo,61,6573,8,0
fnql,91,710,2,1
emjn,38,6088,3,0
rggc,15,7845,6,1
mdve,33,81,248,1
hlqy,47,130,139,1
bshb,2637,374,22,0
lful,1,229,18,0
fcqa,942,397,21,0
cuca,10,69,599,0
tdoe,1965,10834,133,1
uvva,622,100,16,0
jwnl,3115,158,329,0
renl,24,688,55,1
kptu,71,6700,321,1
hmnn,1675,122,585,0
khpb,64,9370,10,1
brhk,45,568,21,1
kkxt,71,690,485,1
rlzp,3983,275,1671,0
zfgy,4358,107,7,0
pwkx,94,2930,722,1
tjqv,5,117,636,1
qmll,2371,156,3149,0
vmpj,54,242,1,1
ymil,2835,21,16,0
uaig,56,1885,22,1
jkrp,31,311,21,0
spbu,70,148,20,0
wlpe,83,340,9,0
pqcj,30,207,4,0
bffn,4737,198,310,1
pkkr,11,107,998,0
mvrl,3195,25,1,1
golt,1980,154,176,0
qsab,4529,3462,109,0
jqxc,80,1834,1010,1
ocug,3444,484,6,1
wrrn,4152,144,7,1
jpuz,25,52,6,1
fcrq,4114,93,9,1
cpez,58,468,1857,1
btmy,51,53,114,1
nzuo,4056,41,363,1
bthx,2657,646,81,0
koqm,96,263,864,1
rrfg,2899,1078,7,0
mooz,3565,1021,3,0
iwmg,1739,309,2114,1
wyhq,3734,322,15,0
dmug,1696,3072,18,1
qozi,1750,100,1,0
gtlb,4650,544,1460,0
vgtw,54,324,25,1
cxzz,95,36,12,1
rglb,60,6496,302,0
jgqz,2192,230,199,0
jwex,85,438,13,0
vdew,27,197,17,1
bxgi,67,121,386,0
cwwl,611,630,10,0
xyfc,4347,4598,312,0
ofen,30,176,15,0
ggep,34,70,154,1
vfpc,4,4531,17,1
dmlu,4638,214,1,1
nenc,44,562,5,1
sxuh,401,12,107,1
zpun,4556,70,3,0
brxd,573,2654,1764,1
vvvz,977,6713,4,0
ugtz,4029,375,67,0
xkuc,30,98,16,0
qgke,1304,3365,110,0
zolo,409,987,3438,1
rxjk,2581,475,101,1
urco,3418,8875,505,0
uslw,67,132,23,1
wsnr,70,36,138,0
nmqj,1472,100,537,0
mxao,53,450,25,1
pkrs,24,6136,10,1
pzaz,289,183,29,1
gmoq,0,94,3,1
ejzi,24,328,7,0
lxyg,80,70,109,1
eeks,35,360,86,1
xyla,3028,8778,17,0
fgrr,5,361,15,0
kwah,3531,478,508,0
fftx,868,96,211,0
gfwr,665,210,14,1
chnv,70,0,135,0
asog,2272,646,18,0
mejx,12,923,3045,0
suuj,85,19,10,1
aqif,42,213,10,1
acrg,1413,182,4,0
xrue,1366,778,24,0
rgvz,98,441,307,1
dztd,1294,1066,2859,0
vean,27,92,523,0
jakh,66,421,14,0
fkxv,2273,539,45,0
qsnn,309,3655,3,1
jtdh,262,700,199,0
kjio,653,514,244,0
ezqo,3,164,246,1
ctln,82,3052,25,1
cbas,46,499,25,1
zywl,39,2378,226,1
aluh,24,6129,4,1
kdnv,20,51,5,0
tota,1303,8477,206,1
shmn,69,751,601,1
kahk,417,245,3566,1
hxrr,3633,3711,214,0
djpw,3466,7138,5,0
wngl,94,2795,70,1
yfey,922,760,3432,1
hulg,56,591,15,0
gjou,98,430,149,0
shte,1491,405,5,1
nocz,5,400,2,1
tamz,37,36,23,0
tutz,34,856,246,0
pyox,73,372,23,1
qzjt,4346,312,25,1
cdem,41,4802,1743,1
kvrz,2819,195,21,0
gnsu,59,8022,14,1
eloc,96352,58,95,0
hnza,933,2,112,0
rrfk,38,297,3231,0
sodm,1761,551,4,0
euwl,30,28,6,0
sbch,19,1450,1,0
msgm,2538,1612,275,0
knwx,1126,804,559,1
pscl,2866,2,11,1
zcvb,12,43,15,0
jxpx,8,45,6,1
syte,26,559,22,0
jqkb,4190,45,1,1
wfak,29,563,283,1
uvkj,88913,57,1,1
hemb,2677,781,38,1
lljr,2168,222,10,0
ndvy,25,307,1706,0
ctoz,35,423,16,1
papi,3894,148,11,0
onoy,56,137,214,0
sadn,94,101,18,0
ioka,66,635,32,1
vwxv,2671,409,56,1
rsub,631,24,23,0
oqmu,1238,21,179,0
lyao,128,472,124,0
igax,71,295,635,0
mktt,71,13,2698,0
ceia,24,407,17,1
aijw,1805,135,314,0
crxl,2384,367,157,1
bjpb,27,313,20,1
sath,82,1694,19,1
fdwq,83,128,19,1
hxwb,268,1227,123,1
upjw,294,2668,23,1
tcwf,3550,503,5,0
tzcm,25,970,44,0
pgca,73,107,14,1
qlqi,40,38,132,0
scyc,41,1046,209,1
qzoo,76,6362,156,1
gpig,71,868,97,1
ihnc,57,1329,439,0
bgkq,91,405,6,1
ahbd,2,340,10,1
eiiv,21,3864,59,0
wchs,1556,7813,64,0
uktr,4,387,19,1
ftqi,3,347,13,0
ehqw,97,627,5,1
dfnd,1085,50,1834,0
lsbj,2323,690,199,0
wssd,1572,6837,0,0
zjdr,13810,662,8,1
asxf,928,470,122,1
iqlr,79,477,333,1
eskr,79,5824,24,0
bakx,28,4011,1534,1
igkj,82,53,168,0
sphc,3465,117,36,1
yejg,14,241,17,1
rwxc,2278,106,7,1
rtxt,52,407,12,0
btlp,1877,200,76,0
daei,56,304,325,1
csjv,52,878,69,0
ctxz,95,475,455,1
lryn,70,550,944,0
cltq,68,1639,238,1
svoj,61,526,1,1
qsdb,932,785,33,1
euya,2,198,701,1
jdos,59,400,4,0
iofp,3235,33,365,0
crwd,71,4079,11,0
gkcs,1402,121,16,0
olel,5,39,371,1
puqs,17,180,23,1
kuzr,12,52,19,0
ooat,13,64,21,1
rwzm,2611,462,21,1
dftg,1847,1096,110,1
ucvx,1697,16,126,1
iiur,3395,200,9,1
woii,89,74,18,1
rfap,36,203,397,1
oyvz,48,275,6,0
jawj,25,966,245,1
ceko,100,111,266,1
nmen,3665,146,14,0
jbeq,91,40,182,1
lfwn,4479,24,348,0
tpvz,59,79,2997,0
umrd,2309,256,393,1
pcam,418,12,475,0
rtbs,320,256,148,1
jprn,56,167,11,0
fytk,39,304,368,1
pleu,2033,149,1424,0
ssqf,743,428,224,0
ynqn,626,135,23,0
dizz,3359,46,18,0
vftd,1541,98,18,0
vmay,2990,786,0,1
oszk,484,570,33,1
rqoc,1636,76,821,0
bebu,15,326,20,1
evlg,34,249,297,0
vbuw,40,59,46,1
ikaq,1553,188,137,0
gcet,4662,601,14,0
lkcy,64,7703,41,1
pviu,2140,450,134,0
mqbs,21,145,9,1
wlfc,100,206,13,0
huyn,3107,140,13,1
xodz,70,9297,216,0
rttv,59,530,375,1
nzio,23,537,11,0
hufk,57,8523,0,0
amlz,81,103,38,1
covu,19,3886,8,0
mgdm,13,406,11,0
bcdb,30,68,1,0
pnap,3297,597,360,1
nxyt,2297,6490,21,1
vnke,4650,8169,366,0
dtct,3715,372,59,1
zknq,11,280,154,1
zpnn,96,149,289,1
wrir,1578,277,15,0
kfie,92,3747,96,0
gfzp,2347,7004,161,1
lojm,92,33,1,0
tmwe,1971,454,9,0
amkq,602,705,19,1
ryid,1707,9308,90,1
hvyz,4192,305,9,0
xkoz,96,7004,19,0
tbas,17,99,6,1
rrvt,79,313,759,0
awbr,57,321,255,1
xtsz,1,4869,340,0
psxa,2544,16,225,0
vzvx,468,101,15,0
emrz,4785,1023,354,1
sswe,35,743,27,1
zuik,1695,77,210,1
ginx,1309,467,4,1
ynxy,2962,87,17,1
caoh,828,5403,102,1
elns,8,87,3,1
jrle,2301,8239,21,1
xbee,45,124,14,1
dgxb,53,807,55,1
zrhh,4690,261,6,1
budm,1283,637,11,0
kzov,55,52,276,1
uylz,60,7,551,0
cvgq,73,104,9,0
xymn,45,573,22,1
cwru,14,19,1912,0
fkjr,4844,8189,12,0
xpnj,3068,372,492,0
bqsr,0,7967,16,0
ckxm,285,128,95,0
cfxp,3041,119,254,0
ucrk,1991,610,9,0
olog,4592,383,603,1
sjxa,89,335,6,0
awmm,35,816,10,1
nfpt,2885,947,49,1
dpzs,3281,380,177,0
cvme,1252,111,25,1
jovs,4078,37,5,0
oukg,2955,1126,35,0
iodv,73,2788,16,1
pcme,1793,24,467,0
szkf,3337,600,5,1
shpm,430,1010,76,1
vxrx,90,132,122,0
rbxp,20,87,1249,1
uliu,4543,589,18,1
pupo,2727,5719,1,1
bgab,37,141,22,0
oywu,114,595,9,0
nkhc,73,531,260,0
zyqq,2598,20,20,0
amrk,81,479,12,0
ynaq,4268,436,13,0
pqqv,2386,418,96,1
nycs,66,671,192,1
pofc,4881,6868,162,1
xtyh,68,408,23,1
usny,819,629,53,0
bjls,90,6372,285,0
twmf,75,157,0,1
nwlc,0,298,93,1
tcvp,1787,987,13,1
schy,23,196,13,1
nupi,145,541,21,0
lzmm,1768,336,172,1
zhef,52,263,36,0
jtve,53,845,206,1
ktxd,960,995,140,1
oags,63,148,205,0
vlld,2381,117,624,1
bdzc,2646,302,3780,1
esbk,2374,1023,37,0
wuok,2092,4,9,1
sest,3434,147,35,1
czqs,23,6836,175,1
axhs,53,7656,77,1
xady,42,358,21,0
ogwm,18,31,10,1
blru,1,7,363,1
voou,16,311,240,1
ekoz,46599,640,0,1
ylzz,92,284,14,0
kmvq,472,401,6,0
tqov,12,5931,248,0
mspt,89,16,9,1
apox,79,124,32,1
uauu,4247,6905,6,1
gjbv,1013,59,251,0
vkah,90,591,1559,1
dega,43,418,44,0
cpcr,3530,259,0,1
beas,2205,3142,3,1
zdpc,1351,5104,12,1
puyc,3963,115,7,0
lzkh,1856,988,162,1
gxrl,74,178,33,0
wfhx,3965,6504,335,0
dmgp,1395,561,10,0
xpmk,2939,249,11,1
gcsg,2999,245,23,0
jgho,75,485,13,0
imwz,68,368,23,1
hlne,4,480,21,1
lkis,1342,143,567,1
nyrf,743,412,20,1
bbwc,60,310,5,1
kanm,93,168,63,1
gzau,28,355,12,0
sixd,9,105,1645,1
wdfh,76,360,109,1
jdaf,25,183,131,1
nhjd,37,715,157,1
cvug,88,234,1647,0
ftym,79,500,628,0
mbdq,4154,145,78,0
pqqf,3477,117,24,1
wjsi,43,57,461,0
qcvu,6,81,244,1
tskx,4763,13,1115,1
ycis,91,8,390,1
tqdw,28,7,20,1
bwyg,73,982,78,1
tbkl,54,150,16,0
kwfu,80,4793,363,0
iwgh,41,4079,209,0
irts,76,404,8,0
reic,100,134,17,0
iiqe,41,402,211,1
nlwo,37,85,4,0
fdwn,3446,119,572,0
mqxv,2983,665,5,0
jxkp,6,208,7,1
bsvk,98,290,3,0
kcra,64,48,140,1
qxwk,55,200,197,0
oxkh,2528,947,628,0
ucuu,585,40,1931,1
cyno,49,36,0,1
ahbx,86,73,24,0
arrg,4910,20,19,1
flzs,3986,485,1252,0
bqri,22,7881,22,1
pxjf,15,1093,2109,0
qzfn,1093,76,103,0
wxdk,4510,388,103,0
ozes,45,781,113,1
ydmq,3951,97,402,0
vqxn,554,113,204,0
hcul,71,8916,980,1
fbyu,1641,29,15,1
fqih,505,426,18,1
kpwb,2669,364,5,1
rmwm,52,461,24,0
serw,17,149,16,1
krxx,57,4051,9,0
gxcq,61,362,1031,1
xqyd,4869,327,583,1
enpv,1527,4252,17,0
szit,40,4365,12,0
gtzk,64,1759,223,1
brog,2930,1319,19,1
mnvz,45,107,23,1
ddgb,49,401,2947,0
ywcf,2808,748,240,0
lxgr,301,127,25,0
yrei,2366,106,24,1
usas,87,700,27,1
ovyz,56,1029,1,0
plkv,52,3481,8,1
rxcz,78,287,119,1
eums,75,7470,10,0
lwcy,36,5226,20,1
gtob,71,122,22,1
kkrs,270,33,93,1
wsis,2498,94,1056,0
izko,36,249,18,0
zqsr,1364,118,13,1
lhul,3727,63,17,0
ljcb,3711,361,534,0
cjqd,49,3919,271,1
htmi,2193,87,553,0
vvyz,52,418,8,1
vbvg,13,355,143,1
llnk,38,290,2,1
pdhd,3304,379,2,0
guek,100,523,227,1
zrzf,71,8764,136,1
wblz,1415,892,2,0
auuk,2143,18,8,0
xmpg,91,389,378,1
yhwn,4,143,19,0
tlbj,17,6824,173,0
fgdf,2397,274,347,1
bxkm,86,372,457,0
ldap,70,8266,1857,0
ritu,86,410,169,1
ecol,3696,431,402,0
hbae,88,41,220,1
vutp,24,715,16,0
unlm,70,78,11,0
oado,36,151,267,1
lldo,70,127,0,1
hceq,4978,3281,94,1
sing,26,573,10,0
xaii,66,75,11,1
jwtn,69,36,17,0
qqjy,2397,300,24,1
plyy,76,434,412,1
suay,73,375,528,1
ktad,49,4284,361,1
open,58,111,190,1
irto,23,89,17,0
ibaq,11617,148,14,0
ekxm,84,501,285,1
uhql,9,2263,22,1
qhyh,1344,240,148,0
aezv,1637,80,9,1
kwym,33,87,10,0
ufxt,75,324,261,1
qlld,61,498,62,0
nnwi,84,7872,1397,0
eqld,2263,6352,1788,1
lnqp,72,413,281,0
wmtj,1917,283,23,0
hdwd,4637,559,366,1
jjlp,3762,2411,8,1
mhns,22,134,6,1
bwzh,3623,384,270,1
ejuo,1954,2021,142,0
avdf,9,568,647,1
mipp,40,361,23,1
jgyt,34,25,8,0
bogb,4222,436,301,1
gkdv,3045,115,12,1
cxhh,27,272,3,1
rbdd,95,5807,177,0
qehs,2821,779,89,0
icys,15,2462,9,0
epcn,1696,300,31,0
rqvs,4458,317,176,0
inkz,34,36,177,0
lpkp,99,9570,9,1
zrpt,1339,1116,5,1
zedg,92,28,233,0
smwo,3,567,7,1
mhfh,65,11,22,1
jhfq,31,6472,11,1
llcx,7,8290,7,0
vuqr,23,478,455,1
jcdf,42,74,15,0
exbd,1910,381,6,1
kltm,20,275,20,0
nynj,159,551,3217,1
ppgr,81,519,18,0
kwcl,23,59,1545,1
lvsp,89,368,10,0
fhan,1331,2444,2,1
qvja,26,636,37,1
ufly,2767,817,41,1
cnnc,30,118,791,1
qzqx,65,2470,245,0
pvnd,937,427,74,1
duhw,24,3079,284,1
tdxj,420,3117,482,0
ezws,27,346,246,0
ujit,55,967,4,0
hoyj,77,534,7,1
uldb,181,917,22,1
fslz,52,576,4,1
eoyk,89,77,25,0
ecdx,25,9999,50,1
rtor,507,294,127,1
krnc,2837,10999,67,1
ugms,1234,821,71,0
ipmk,81,38,11,0
aurs,1340,178,1,1
eqvh,99,895,0,0
ytom,1205,1468,2,1
wqwu,22,92,188,0
zszk,4,573,35,1
qayh,53,492,24,1
fnqw,3198,184,9,1
grhk,208,133,484,0
mplk,27,409,15,1
zghd,76,19,265,1
vupx,10,559,19,1
mcii,2471,76,2,0
ioay,1047,750,54,1
kfzi,57,563,12,1
kfhx,54,7379,76,1
htcj,742,55,114,0
bmsv,453,359,25,0
eabm,2861,7063,1685,1
vprr,72,1096,51,0
qfnx,609,8307,1,0
wkjk,61,2712,18,1
feyg,64,890,16,0
axtf,64,7840,3,1
sfmi,1788,5168,842,0
msrh,18,2605,601,0
ygpx,30,483,145,1
xjoj,8,340,12,1
nqwr,4732,578,560,1
jlze,1194,404,13,1
rcmo,98,698,139,1
thrw,90,111,413,0
olba,21,699,17,1
ygrj,47,672,6,1
bxqn,3551,424,351,0
mqop,386,58,22,1
cxwv,389,5157,388,0
pxyi,3,896,243,0
geky,4,448,6,1
dqlc,2867,236,81,0
mdsj,12,30,1764,0
bgji,55,119,315,0
jvai,259,318,15,1
jrtp,50,9048,7,1
rlui,90,17,13,0
bujn,1902,536,108,1
dtgx,1971,87,147,1
rclz,42,157,13,0
eedz,2617,339,197,0
yidd,64,306,241,0
lzcn,315,9561,13,1
jiay,58,78,218,0
mqxd,17,957,142,0
tmwr,42,297,224,0
xogt,5,28,304,1
bogx,47,222,13,1
vssm,36,120,15,0
rerp,2679,464,4,0
ftwq,34,99,526,1
gjhf,38,111,33,1
zeuo,3742,400,19,1
gqmm,98,263,3451,0
skrd,1177,773,8,1
tqfh,17,4911,151,1
ebov,34,6615,1,1
cjvh,51,255,35,0
gozk,36,330,172,1
coxx,54,209,159,1
btrd,1939,25,222,0
eeen,90,839,3,0
epgl,1783,744,7,1
jmvq,64,372,240,0
mdau,20,105,34,0
bify,50,851,24,0
mdsq,2071,8364,521,0
nrzn,40,252,3,0
qzgw,4,94,109,0
fgxi,1553,688,211,0
ypoe,88,6513,254,1
dyks,4433,344,23,1
yonu,93,521,11,0
lndu,57,503,4,0
jsyd,797,148,4,1
rboq,7,4846,117,0
syiz,4589,204,12,0
ytzs,1559,338,323,0
nfwn,43,871,182,1
sprw,2607,847,23,0
ocrv,236,965,195,1
hjtg,4030,4078,1343,1
jeak,3115,497,469,1
hrhh,2585,7857,647,1
tvtx,97484,818,3,1
wwid,2805,34,320,0
xsxa,27,675,129,1
tzzy,359,171,13,1
rwoi,58,8,18,0
dxpg,6,65,24,0
wzal,563,2024,352,1
rwfg,72,6758,1931,0
aymj,71,396,12,1
myth,75,6,1,1
bqrs,72,10,355,1
nzar,7,212,175,0
weej,33,1006,23,0
gkoe,10,10706,233,0
nhos,2294,137,23,0
emfa,72,394,11,0
gmgf,2088,63,1100,1
qvdz,12,1038,16,0
qrxz,36,1355,11,0
qmwk,1234,937,15,1
dlsr,5,4673,25,0
pdwz,4670,391,272,1
yfnu,53,67,453,1
zanp,66,7790,33,0
isgx,362,256,28,1
lyiw,63,36,11,1
wfgq,2628,126,11,1
xglk,2256,234,202,1
nttv,97,183,217,0
cmjh,36,970,13,1
qbue,2093,354,52,1
dwij,2398,1029,76,1
vdwt,89,247,237,0
jzgq,2633,4139,444,1
egfq,638,8045,72,0
fwjb,82,458,229,0
rsph,1734,522,440,0
bonw,85,338,131,0
qrdu,2807,294,123,1
iszc,1305,1079,10,1
jizw,546,41,237,0
prql,56,426,11,0
sbbq,28039,662,242,1
bdkn,25,230,234,0
rfub,47,1117,125,1
jgji,1783,417,79,1
gpkj,18,2338,1425,0
qpcw,3432,94,5,1
duvl,81,281,111,1
figr,3146,17,41,1
yzqr,53,36,25,1
qaps,3000,365,236,0
kkid,88,299,560,0
cahm,15485,194,25,1
bail,64,25,11,1
gnkf,74,364,17,0
bcty,1354,2848,6,0
xfcp,2575,656,182,0
zlwt,577,374,112,0
anqs,19,763,242,0
vbvp,98,548,266,1
byhq,3462,157,156,1
zowg,61,30,162,0
usxv,27,107,1475,1
vxtp,1607,6068,20,0
iufi,1510,588,373,1
expw,2915,6928,127,1
jose,85,518,166,1
ojla,86,356,3,0
mvje,98560,213,22,0
vkjx,58,1031,185,1
lecg,16,126,308,0
jzzf,2,28,283,1
txfv,67,4,118,0
jysm,1859,129,216,1
tych,13,1278,58,0
wtmq,91,464,254,1
kkew,77,33,142,0
opew,2459,156,61,0
lajl,12,90,1012,0
tmtd,1603,188,220,1
polq,72,40,17,1
okak,91,847,85,1
sknx,98,35,410,1
ymhg,1058,346,21,1
yftk,93,146,17,1
qcrm,3863,47,14,0
omct,6,87,344,1
jvin,75,91,10,1
esnk,3,688,13,1
mdwb,587,98,22,1
