corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
xywm,1493,4984,10,0
hrhh,2585,7857,647,1
gkfv,3066,483,9,1
kmyb,76,741,15,0
ofhy,137,88,225,0
icyc,100,46,194,1
zbwe,24,16,601,0
ozwa,247,4672,514,1
hrym,3661,3644,6,0
qunn,2938,818,3406,0
zabo,42,321,11,1
djkr,2689,3102,234,1
gpox,91,710,7,0
ktsi,4974,178,13,1
opei,395,520,2,0
qbht,9,574,199,0
dvch,90,166,284,1
tsia,2573,10,273,1
nbgc,8,13,463,1
qnbu,4313,1604,8,1
ptng,403,1100,11,1
babb,16,304,7,1
nomk,1399,2051,17,0
kxoy,1786,437,12,0
avuj,45,7236,3,1
ctcv,38,53,17,0
icue,0,92,19,1
boms,2132,227,23,0
pttq,4081,199,359,1
xymn,45,573,22,1
cboc,471,624,18,0
xfil,72,773,78,1
zkut,4350,1376,553,0
mdjt,67,579,196,0
gagy,532,5693,5,1
cymk,13,339,91,1
oodd,92,262,17,1
huck,49,16,17,1
aezv,1637,80,9,1
uwwr,39,334,242,0
kxih,4473,2,3,1
okjm,4599,184,7,1
atvl,5873,593,13,0
reyp,540,758,21,1
ydmq,3951,97,402,0
eata,1941,560,14,0
ipal,76,40,1586,0
cstt,44,811,5,1
agck,44,495,2,1
pxig,53,332,3,0
sbuo,4899,115,3,0
mzgy,2167,419,18,1
zvjk,77,379,594,1
hcit,36,274,33,1
uzde,3257,14,23,1
hbtv,489,541,0,0
vhqd,8,5368,0,1
mdil,717,2117,69,0
rboq,7,4846,117,0
qbeq,1090,1048,25,1
bpuo,2790,284,19,0
rtzl,3151,5193,23,0
hghk,33,2005,1064,1
qcbk,69,265,443,1
tvyf,1316,2856,625,0
oeoo,6,203,18,1
drly,73,280,12,0
qxsq,54,1030,224,1
ztqb,3742,29,6,1
muar,2936,69,13,1
bqoc,26,12,224,0
gvnj,6,7449,66,0
hzyo,4717,848,13,0
qfgc,1395,289,498,1
qjoh,76,163,226,0
rqln,100,217,162,0
pcby,80,2125,69,0
wcrq,2880,388,19,1
rrfp,30,395,556,0
fqjq,18,472,645,1
rbdd,95,5807,177,0
jbkv,0,891,415,0
zena,757,4572,192,1
nrzn,40,252,3,0
wxdk,4510,388,103,0
pdbs,2236,1008,242,0
rfun,2331,3805,222,1
wnve,4207,181,527,1
rres,844,602,3976,0
yoxl,3993,429,11,0
ebog,46,77,1532,0
yvhf,729,5693,8,0
sfww,25,137,2,0
wqut,78,42,327,0
ydgt,2930,527,518,0
tukh,33,116,649,0
suih,3819,352,8,1
osuz,369,268,95,1
qadz,45,38,165,1
pegl,43,62,505,0
aqed,1675,648,1,0
vwcq,15,196,22,0
wlgr,3989,397,108,0
dtgx,1971,87,147,1
gozk,36,330,172,1
akdz,63,7678,197,1
mirk,2613,6,1339,0
jsvi,3441,862,360,0
hrba,3936,888,0,0
vbcb,23,820,32,1
ghtu,2448,365,12,1
yurz,2893,511,626,0
zjvo,904,2207,42,0
rcyn,40,710,1078,0
arqq,3866,113,10,0
uzac,3,2760,535,1
yjdn,1267,1010,16,1
luwp,9553,321,22,1
etwm,24,586,0,1
fgly,2236,102,13,0
gsay,97,124,18,0
qtga,4238,8025,369,1
rwxc,2278,106,7,1
ejzi,24,328,7,0
okra,5,595,1776,0
eyhi,91,89,24,1
eloy,323,268,133,1
vmyi,2880,0,1427,0
tbkf,2145,1057,21,0
qlpv,64,323,177,1
pgtb,2517,487,12,1
etix,4793,17,365,0
tdyn,56,684,2799,0
ecno,29,280,11,0
oewe,88,492,11,0
vghv,0,173,17,0
viyo,66,818,19,0
yuaw,2980,49,313,0
znoy,1783,7,197,0
wgoh,84,444,281,0
dcjf,225,216,511,1
vzmn,100,448,417,0
cwwl,611,630,10,0
amsr,15,676,43,1
ghcj,117,443,19,1
olba,21,699,17,1
pooi,2585,257,199,1
gesz,3790,144,16,1
bnnv,1455,420,24,1
slme,63,197,199,1
itim,78,36,22,0
atmy,4526,7739,126,1
bwtx,67,537,6,0
wjsi,43,57,461,0
clmc,4589,294,410,0
bhaa,30,503,535,0
ogpx,24,3930,3,0
jpyg,59,4106,11,0
tfig,45,145,9,1
xmpn,537,379,1294,0
wihm,49220,204,56,1
stik,28,326,95,1
owdc,36,2908,193,0
qcjx,16,121,20,0
uopu,643,45,22,0
ncqb,1451,2446,5,1
tsax,12,8036,157,0
sdcd,663,533,499,0
utsz,1025,423,828,0
jmie,4497,3271,329,1
iybx,1046,446,217,1
kmuh,1287,3674,92,0
wped,4,190,142,1
lhev,83,91,261,1
smat,39,231,33,1
uyzf,95,28,69,0
uyhe,3480,340,517,1
hcnn,90,6862,8,1
dxux,3690,8716,0,1
ypoe,88,6513,254,1
nkhq,61,525,85,0
cwtm,63,161,23,1
itau,2494,249,598,1
pcrz,18,26,6,0
tdxd,23,3,25,0
askx,2278,7423,382,0
ecua,10,6779,400,0
zimw,4686,373,580,1
lzmt,2373,623,22,0
qsrh,100,155,23,0
lvml,2067,37,9,0
xpqe,2267,79,17,0
zulr,1226,279,25,0
zrak,77,634,107,1
neww,100,542,11,0
vkjx,58,1031,185,1
puop,2679,102,8,1
juty,94,682,73,1
xlzs,709,405,1848,0
vbzi,41,80,17,0
rlbv,1607,30,3,1
onko,57,41,24,1
dfdz,89,149,22,0
ffqa,8230,19,23,0
hegz,22,600,477,1
uhce,61,10,9,0
ofxk,73,114,21,1
hksi,68,495,201,0
pklc,1031,8012,401,0
dvmt,286,33,1989,0
vmzu,3,2,12,1
crqu,73,14,183,1
fshy,1043,206,676,0
ekxm,84,501,285,1
lcdv,614,125,55,1
wmwy,80,682,102,0
jbii,27,327,235,1
iady,751,896,23,0
sazk,78,4636,81,0
bbht,9,89,20,0
ihvd,1851,415,81,1
ktad,49,4284,361,1
bmxe,671,253,20,1
wdrb,46,214,135,1
jqqu,43,8134,3409,1
anyh,1211,463,494,0
aufn,1570,508,22,0
ulsu,74,718,1,1
jvbo,51,599,20,1
jzbq,2892,5810,81,0
lqrg,2112,319,440,1
sfia,26,8537,650,1
appo,82,29,2,1
ysrt,23,115,3,1
kshe,48,986,22,1
tdwi,33,454,20,1
getq,3657,342,15,0
nepa,2,52,1321,0
wrrn,4567,378,9,1
wmdm,45,91,1199,1
bzft,4780,275,215,0
hhtv,675,6064,136,1
qicp,47,1056,10,1
cxhh,27,272,3,1
odyb,77,290,117,0
wjny,52897,3458,113,1
vcqc,658,205,114,1
zhuz,29,324,111,1
vggp,93,700,3302,1
vnvx,2281,93,129,1
oden,3774,12,23,0
ybbp,4932,8677,19,1
mrkl,73,1015,139,1
jgho,75,485,13,0
nlnj,6783,176,8,1
vooe,47,550,6,0
ajlu,2985,390,5,0
yhbb,37,120,1193,0
zbgw,66,7709,500,1
kkdi,15,6381,15,0
fshm,1926,996,91,1
ejxf,139,71,431,1
jnai,154,129,18,0
enda,8,52,325,1
tegg,3821,4725,20,1
ynqn,626,135,23,0
rclz,42,157,13,0
poss,1371,1,231,0
yfzw,4053,107,424,0
tyul,738,726,0,1
hzps,15,352,1,0
eebw,2707,302,519,0
mfeg,1731,129,24,0
nwse,18,240,13,0
ipou,62,144,1624,0
ihyj,57,102,209,0
mojo,45,628,10,0
tyjv,1729,706,242,0
xjhh,66,270,384,1
sbtg,3620,43,1720,0
aqmo,1817,787,1,1
ojdv,56,166,19,1
brsz,61,29,93,1
jyfi,12,442,249,0
nzio,23,537,11,0
ddzs,54,523,22,1
kzci,67,426,148,0
xarz,218,5219,21,0
qcno,2548,547,110,1
usyj,45,12,443,0
kyzk,65,171,548,0
jnak,0,35,31,0
xgjd,89,143,24,0
xdgn,15,429,433,1
jbeq,91,40,182,1
hdwv,1412,202,1106,0
cboq,9574,877,369,0
nter,1,110,6,0
qbzp,2665,359,52,1
fkvj,51,912,177,1
psem,54,778,4,1
syiz,4589,204,12,0
hmsm,2321,130,72,1
hjao,49,1695,2,1
ufly,2767,817,41,1
asrg,35,544,451,1
usmw,645,783,2,1
oxkp,96,4514,20,1
xtyk,2203,60,111,1
endi,75,800,81,1
urgj,1171,34,16,0
kddb,1133,882,14,1
pfau,929,62,1688,0
puxb,97,265,1147,0
rfxj,80,6830,880,0
walw,5,489,1,1
yfgm,24,501,2187,1
wcla,4467,144,456,0
tiyu,8706,28,1,0
bcon,5364,69,11,1
hryd,2623,913,34,1
bvda,3729,123,572,0
lwcw,3394,21,24,0
nmen,3665,146,14,0
bqdk,2114,250,134,0
znxg,30,421,20,0
xfyc,824,696,24,0
ethv,874,1085,96,1
rdly,91,515,25,0
vzvx,468,101,15,0
jded,456,1071,115,0
ocih,816,677,277,1
jxpj,26,540,350,1
axtf,64,7840,3,1
hmfc,1263,144,3,0
cive,40,469,606,0
lvsp,89,368,10,0
werh,0,87,3612,1
vkzd,1859,35,119,0
moow,76,274,15,1
zceb,6530,17,13,1
xoxy,4835,165,88,0
gqzc,7,291,20,1
jvru,1528,688,200,0
ihnw,89,261,18,0
gyhh,42,578,25,1
ejya,95,210,4,0
tvyx,35,27,20,1
odqp,2284,6483,235,1
gpii,47,329,1422,1
rghi,99,371,4,0
holi,1743,270,14,1
qmum,30,318,19,1
hecl,46137,1074,9,0
ypzn,17,2895,201,1
icxb,60,234,1990,1
sfzi,51,65,157,0
jtvz,44,80,316,1
aarb,89,324,7,1
vgdv,99,491,1,0
hktg,467,115,206,1
tkvs,7209,342,391,0
gqmm,98,263,3451,0
fxcb,4468,303,17,0
rrge,953,548,2590,0
ywhw,27,509,385,1
jsgh,3788,236,499,0
qvjm,226,151,3936,1
tdbm,2774,458,7,1
udva,54,246,235,0
acsi,13,318,22,0
tvwz,6694,150,204,0
sxuh,401,12,107,1
cqpp,1636,273,14,1
epbc,58,319,12,1
ttol,54,4060,9,0
lggy,21,36,20,0
sjcc,2414,613,19,0
hyqn,14,197,120,0
ynvf,100,26,482,0
swnn,9411,113,67,0
kaid,3841,37,60,0
cjtg,1844,240,20,1
znlx,8,291,56,0
cxzz,95,36,12,1
vftd,1541,98,18,0
xqwi,2469,101,6,1
kcoz,4341,973,7,1
asts,96,196,1,1
ffcy,0,394,618,1
tzzy,359,171,13,1
kxrt,19,7262,20,1
ceup,47,339,12,1
dzmk,33,12,52,0
aqeh,906,53,251,1
crxl,2384,367,157,1
jirt,44,275,131,0
pqqf,3477,117,24,1
rucs,26,8,473,1
ztvk,48,9425,1,0
xfvg,27,342,25,0
fqja,1161,53,443,1
ttbr,432,7114,0,0
koay,65,705,25,1
ajqe,100,146,8,1
iija,1600,256,19,0
hqzd,1932,477,273,1
foum,11,7791,18,0
xrtq,1965,284,1672,0
sgup,3800,687,346,1
ppxt,2419,935,6,0
owce,2774,181,562,0
affw,35,3363,24,1
zfix,66,50,397,0
oxle,221,917,8,0
uoqt,0,2238,1175,1
jtou,31,462,49,1
ekvy,96,555,342,1
eoqr,1547,528,12,0
qgbo,71295,101,195,1
cohi,8581,49,17,0
bafs,79,39,375,0
trtc,61,319,20,1
lwbw,3872,55,10,1
retj,881,504,50,1
iceo,1827,199,1162,0
xiil,1404,43,344,0
xvld,72,1050,103,0
lxmy,31,122,2,1
dqom,910,262,773,0
zdjh,3,112,9,0
upux,20,385,54,1
otul,2779,147,257,0
ugdi,58,82,814,1
bcih,469,151,25,1
mcmb,2141,52,16,1
dimb,1,8016,14,1
bxrb,9,256,23,1
qgqv,14596,761,74,0
mruf,81,517,519,0
reko,4,134,451,1
qaou,8,84,328,0
bdsj,9,2882,12,1
rfyj,60,4144,23,0
kiip,92,352,1764,0
ltms,545,47,14,0
gmxh,1820,249,1,0
thbi,4984,18,10,1
jvfw,68,481,629,1
vaua,2629,437,6,0
brol,100,226,141,1
fnau,33,57,25,1
typk,30,44,19,0
ksyd,94,8455,9,1
wwid,2805,34,320,0
vwev,656,133,124,0
uxzv,6,892,9,0
rcza,3053,214,577,1
kqff,20,160,10,1
eivq,231,401,12,1
isxj,59,30,337,0
ogng,112,427,2559,1
iheq,7,516,46,1
zuox,252,8219,1687,1
tsmr,1385,139,78,1
nvoo,74,326,364,0
daei,56,304,325,1
shte,1491,405,5,1
jizw,546,41,237,0
olfp,21,4550,1,1
nhos,2294,137,23,0
vxfn,1012,319,6,0
zkmd,927,2598,163,1
adqz,67,93,24,1
lyao,128,472,124,0
rxjj,2019,468,10,1
wede,92,829,135,0
huoy,7,188,125,1
ncmp,31,313,5,1
hiwd,1744,8870,346,1
vrgl,2036,117,1915,0
qlgp,81,533,470,0
amns,85,658,9,0
fktj,1239,538,525,1
texz,29,1521,10,0
cdef,49,249,23,1
dwzr,41,655,171,1
iiru,4,1,309,1
rtym,5796,729,24,0
cjco,48,44,151,0
ekci,6,88,90,1
hvas,1660,134,7,1
qtmu,84,407,246,0
jguw,4455,116,24,1
bnuu,77,4835,391,0
zutv,1192,335,70,0
yjde,48,385,170,1
jwtn,4,586,433,1
fxsp,12,2649,0,1
bxkm,86,372,457,0
tkbl,3837,2,12,0
hlcq,85,121,3353,0
tucp,4488,69,21,1
bdvi,804,8362,25,0
qeje,68,489,117,0
tcfr,2604,408,128,1
pwtf,1015,9037,76,1
woza,3275,3837,545,1
bjtq,4211,23,621,0
pofc,4881,6868,162,1
yrxz,65,95,16,0
aick,30,420,20,0
jong,18,93,75,0
lmpn,93,14,21,0
iuzs,43,551,250,1
vfvf,24,362,204,0
eacy,2673,511,167,1
uccr,353,163,301,0
gxeu,8695,6554,11,1
reou,3180,2233,20,0
qnof,26,942,31,1
eivp,47,442,0,0
amsu,1408,122,5,1
heyv,55,568,225,0
omev,10,1048,11,0
dgzi,0,460,5,0
srzn,39,1017,180,1
gmoq,0,94,3,1
bxym,39,70,1,0
ehtz,76,38,4,0
lqav,20,762,18,1
vqhk,7,5403,145,0
bcgt,85,325,0,0
pqbt,85,10885,104,1
uzqn,435,197,7,1
ebct,2560,748,10,1
kxtz,3198,588,9,1
zxyl,17,556,1906,1
kaaw,5,437,19,0
fmgf,38,434,24,1
kawc,21,283,161,1
affl,27,561,18,0
mbcg,2175,439,124,0
tmpw,9,1034,78,1
neib,58,384,129,1
vdyf,1417,440,569,0
hcqn,2051,2276,510,0
tyui,395,190,99,0
ltyf,42,83,25,1
ftul,5,309,23,1
lmsw,49,8,3,0
ervn,52,54,13,1
hbij,76,615,7,1
rklc,89,5583,34,0
neef,242,939,10,1
obmj,1280,63,26,1
uyyj,9602,766,10,1
xyhn,49,182,17,0
swtp,100,650,597,0
kwfu,80,4793,363,0
gire,2764,592,311,1
vmyw,131,137,375,1
onen,1830,148,14,0
bebu,15,326,20,1
vlwa,3,889,200,0
gsil,3281,470,17,1
kygv,61,406,10,0
myzl,858,1075,23,0
rkku,631,9594,7,1
qxme,71,817,5,0
apsv,5603,812,8,0
ettx,87,302,4,1
mhvw,790,951,5,1
vqmu,79975,447,21,0
ocgb,1054,510,240,1
plcx,87,111,90,1
bhke,1321,358,5,0
wdlp,90,97,16,1
ufde,3503,296,15,0
ljgu,2170,292,12,1
bgji,55,119,315,0
ftme,563,546,3,1
nqtn,66,98,21,0
gvan,16,384,1662,0
ozit,1713,545,247,1
vvkh,53,4917,70,1
ylzs,1871,3921,225,0
wlvr,2577,180,11,0
vopy,2892,921,277,1
gkum,800,3332,650,1
vrpb,4903,8,197,1
tzkt,11,75,6,1
pleu,2033,149,1424,0
sgaz,3474,259,230,0
kkqm,53,44,740,0
tbwh,5263,465,17,0
gwin,3796,111,20,0
nzuo,4056,41,363,1
vlqh,19,7777,403,0
ntei,76,114,7,0
mrmx,1778,304,7,1
khtd,35,5036,101,0
ixkw,1696,6616,226,1
tnuy,72,758,22,1
uepy,312,903,8,1
gnjg,1851,93,8,1
fxhn,3421,5563,528,0
lsco,84,506,11,0
fagv,39,72,32,0
ophl,1601,160,481,1
elpk,73,923,9,1
toge,47,10859,205,1
xful,98765,7,655,0
hlne,4,480,21,1
pjch,84,1068,0,1
ibbt,30,7074,314,1
nudz,1838,264,21,1
kjaf,49,721,19,0
pcus,36,286,1833,0
dlsh,75,354,9,1
xlku,36,275,12,1
lddg,3539,467,254,1
gneu,92,808,15,0
ynxy,2962,87,17,1
fxsr,85,148,402,0
yxiy,662,151,3831,1
xbvs,30,667,87,1
eibs,64,9963,207,0
aczl,842,299,103,1
oqpe,44,333,361,0
cxqu,1998,86,5,0
rtgz,46,70,96,1
adgp,3623,74,14,1
ezyr,50,277,1,0
twwa,29,6455,1996,1
hfqq,15,337,2,0
iern,8159,575,32,1
cfyw,31,5,25,1
eeen,90,839,3,0
aclf,18,228,986,0
ekzx,525,89,22,0
rbqc,91,48,4,1
cmdm,4299,481,18,0
rdab,38,621,229,0
qjcr,8691,10,3,0
bjzv,357,669,91,1
qumc,860,217,24,1
ucuu,585,40,1931,1
zxqg,1509,58,1826,1
chao,2328,1168,584,1
ifan,1061,113,567,0
lwcy,36,5226,20,1
tydp,90311,384,166,1
mkiy,4920,102,18,0
musc,244,476,12,1
piga,1811,462,95,0
lnvu,721,505,14,1
ajxi,99,4573,238,1
wbqz,56,1090,38,1
ozwf,38,188,1413,1
qzrv,150,712,0,0
mhfh,65,11,22,1
svjp,682,340,345,1
svlo,396,503,3,0
llnu,18,96,252,0
frrl,2998,13,329,0
ezal,29,112,246,0
lavq,40,148,568,1
wtmq,91,464,254,1
roen,3218,2673,422,1
nzjw,39,658,192,1
avmz,3266,516,93,1
kgeb,53,409,3,0
sijo,26,89,17,0
bcdb,30,68,1,0
hjuo,3,188,22,1
dhpf,5,1,508,1
nhjd,37,715,157,1
xoip,25,153,1091,1
jnbp,1667,5145,2,0
enbx,59,394,366,0
ypdu,1693,294,3185,0
enua,50,764,6,0
feit,97,140,18,0
cxus,100,2251,276,0
yqya,6258,86,4,1
vnha,93,109,253,1
nprf,9213,75,1,0
ldld,3820,145,149,1
xhww,49,479,212,0
