corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
opew,2459,156,61,0
rgog,67,89,216,0
hlhs,71,957,13,0
tnpz,1412,538,194,0
aaek,12,655,14,1
uzac,51,803,148,1
hbhw,305,5641,68,0
jqcr,70,3282,3233,1
edoo,74,826,16,0
lzcb,70,910,14,0
gdrm,97,746,19,1
cxga,90,404,10,0
nfum,15,790,9,0
schy,23,196,13,1
dtmp,11,9039,6,1
amns,85,658,9,0
vvld,0,282,250,0
kzzh,6,354,82,0
fgij,99,390,8,1
hyll,68,262,84,0
sprw,2607,847,23,0
phzk,28,478,204,1
rzzh,56,861,121,0
tdck,88,832,166,0
ekuv,60,989,59,0
nkjy,1249,843,203,1
juca,34,3857,168,0
qxdu,1918,689,3,0
dvcp,66,10174,137,0
aquv,1528,374,5,1
ydcg,62,355,179,0
xmrc,9,741,44,1
jqtl,34,680,176,1
zanp,66,7790,33,0
oslq,85,551,36,0
relw,95,55,32,0
zzeo,91,586,29,0
vvok,98,402,15,0
okak,91,847,85,1
qlpv,64,323,177,1
hryd,2623,913,34,1
xiug,99,393,80,0
laqq,1695,315,111,1
xwbl,2852,177,240,0
ujvq,970,444,214,1
lyww,73,1213,232,1
yacf,42,95,226,1
ivje,1741,5992,234,1
lsbj,2323,690,199,0
webi,96,279,67,1
vejt,77,281,84,0
whfy,39,243,182,1
ymnk,54,1725,13,1
vvbh,81,8900,21,1
ktot,50,529,90,1
lzmm,1768,336,172,1
tukt,26,748,90,1
srdx,82,598,222,0
kapa,8,770,10,1
zdwn,1617,136,14,1
kulj,91,295,148,1
urwg,25,1044,3386,1
psbg,85,880,18,0
zpyw,66,1053,76,1
hbtz,1411,910,244,0
tutz,34,856,246,0
ywcf,2808,748,240,0
teuh,59,34,142,1
ulcp,11,640,8,0
puup,10,579,133,0
ibgl,1952,572,115,0
zzoz,70,736,23,0
iyok,90,1081,231,0
ddqd,28,1100,114,0
lhav,1933,97,112,0
vucy,78,820,58,1
rebb,72,1072,16,1
csjv,52,878,69,0
mmfw,71,137,168,1
xrqr,31,260,202,1
gqta,3,914,15,1
vkoh,5,3962,140,0
ahdx,86,592,85,1
hktg,467,115,206,1
bhtl,39,1053,20,1
rcnl,73,721,50,1
wmhb,72,708,128,1
zncr,14,9152,80,0
rmll,6,1008,6,1
hrkg,69,3331,50,0
uqbh,944,316,4,1
rkku,631,9594,7,1
jbdj,616,843,44,0
uefl,15,904,61,1
zpnw,100,280,516,1
rhys,29,150,32,1
zhan,85,100,8,0
geto,10,994,25,0
urjf,717,408,86,0
dial,89,996,21,0
fnlc,100,604,249,0
rklc,89,5583,34,0
xowx,58,740,50,1
bpzy,32,598,25,1
idgx,81,320,10,1
yvoo,377,3475,64,0
gpip,38,22,212,0
ylii,1,218,0,1
lgdk,63,40,3082,0
zluq,310,112,93,1
eedz,2617,339,197,0
dqip,3,946,216,0
bify,50,851,24,0
qnbn,85,201,3,0
qzln,2428,762,157,0
imxz,51,1059,220,1
dhsv,2606,1059,0,1
acsi,13,318,22,0
djwq,89,47,201,1
pjri,22,434,241,1
rtuq,37,634,136,0
ppsn,28,278,18,1
ftdb,2131,1009,66,0
pycb,11,513,97,1
xsoh,37,407,3,0
wmwy,80,682,102,0
vajh,617,184,18,0
qcvu,6,81,244,1
gqrg,6,205,182,1
zwdy,42,2746,108,1
asog,2272,646,18,0
woin,2648,899,102,1
qrho,1946,278,16,0
grzo,28,1015,24,1
eszr,191,365,70,1
wrec,96,494,134,0
huck,49,16,17,1
ohas,67,1379,5,1
uhec,2657,805,106,1
aymj,71,396,12,1
auhr,44,910,244,1
gpce,2080,2,7,0
grfc,40,942,194,0
utsz,91,708,133,0
xaqy,87,3379,20,0
xtfp,47,960,24,0
ynkz,639,39,96,1
jgje,83,98,17,0
gsre,941,39,426,0
hfqq,15,337,2,0
kwce,311,905,23,0
xbvs,30,667,87,1
qpts,69,321,110,1
zugc,48,111,76,1
xtqx,2193,7955,126,1
ghtu,2448,365,12,1
pmmj,1684,36,22,1
tqdw,28,7,20,1
ovth,79,409,8,1
glff,63,7784,142,1
zdel,48,1029,18,0
ovhd,40,3460,174,0
pqyj,971,936,122,1
dwzr,41,655,171,1
wjvy,32,205,25,1
xanx,92,366,36,1
xjjb,1716,361,73,0
oiko,61,409,162,0
vkdt,48,922,44,0
ttmj,94,898,124,0
whsi,90,924,43,1
toem,90,203,15,1
ainl,43,558,218,1
azpq,7,933,222,1
kdek,2697,180,175,1
jmfi,48,996,36,1
mghk,2571,339,11,0
ihht,100,305,142,0
tvoy,84,584,243,1
ykro,14,460,1,0
pxrz,3,194,198,0
qqnb,58,607,17,1
hjbm,70,58,5,1
ubuo,15,937,191,1
pear,54,3649,9,1
vgbv,2,376,235,1
skzk,56,884,36,0
nngz,60,46,144,0
gzik,89,196,84,0
evtp,64,6143,12,0
hxmp,32,202,15,1
bsmp,86,524,9,0
eavt,2161,3825,2,0
uldb,181,917,22,1
voqw,57,351,3,0
bfgq,53,59,3,0
rsnc,95,293,14,1
lzdy,89,993,67,1
rfup,2622,59,177,1
hrco,79,1056,200,1
abqc,82,339,222,1
jvta,1969,551,11,0
picv,2274,375,20,1
ypys,93,445,23,0
slmx,13,7126,30,0
ysdv,98,1068,81,0
wgmx,34,695,20,1
qzgj,2217,546,184,1
vgqa,58,10628,169,1
qmmk,18,914,27,0
rghz,96,970,9,1
bzrj,94,979,173,0
holi,1743,270,14,1
ptdg,78,250,209,1
mhxg,2250,628,25,0
kpaw,1294,715,36,0
oqmu,1238,21,179,0
hhea,63,16,13,0
snwm,857,168,20,0
oiuu,754,579,4,0
bthx,2657,646,81,0
nmbb,17,129,160,1
qijs,22,83,168,1
ejya,95,210,4,0
mbfa,35,647,176,1
epcn,1696,300,31,0
xptb,60,218,19,0
fkts,45,484,7,1
ufly,2767,817,41,1
krnc,2837,10999,67,1
lony,15,17,84,0
vqjw,1556,307,212,1
jtdh,262,700,199,0
mbwf,86,193,231,1
zopn,79,8386,64,0
aran,14,77,12,0
qayy,34,79,3,1
fwji,32,403,39,0
uemf,1556,848,2,0
shni,44,912,221,0
ltyh,1440,396,0,0
asxf,928,470,122,1
oeuz,81,365,49,0
fsov,57,386,1,1
avtf,76,303,37,0
nzar,7,212,175,0
qjff,1803,8283,155,0
frqv,36,2263,86,1
hdaj,1534,341,12,0
fwwo,96,861,106,1
tucy,681,148,11,0
idir,83,194,152,0
boli,21,571,209,1
yufk,321,775,112,1
psep,2124,262,73,1
ijbl,331,10906,31,1
kawc,21,283,161,1
nwlv,45,861,83,1
mvkc,85,427,6,0
cxiq,104,617,127,0
zday,59,20,119,1
shmt,4,79,24,1
gozk,36,330,172,1
dhlf,57,428,102,0
sbsf,68,621,42,0
wchs,1556,7813,64,0
qtjs,1393,1043,110,1
bjzx,16,5975,10,1
ttfl,719,270,81,0
flik,685,422,83,0
ffgk,27,10318,226,0
zctt,39,964,20,0
wbks,43,588,224,1
agxt,54,4,213,1
mrkl,73,1015,139,1
ikvk,2703,750,207,0
drjm,61,1535,13,1
cwwl,611,630,10,0
iuwm,3,10189,99,1
biow,81,476,20,0
cfrf,59,595,239,0
iwrw,13,82,14,1
jejl,59,563,57,0
zknq,11,280,154,1
ongf,98,1012,0,0
abon,11,413,5,0
mggg,96,1093,7,1
vwue,2993,450,59,1
qacw,69,364,88,0
zrzf,71,8764,136,1
lrfj,9,45,163,1
yogd,36,354,212,0
xiii,14,812,195,1
savk,55,571,23,1
rfbl,2386,456,8,1
qvks,50,6766,144,0
lgfe,840,7230,78,0
cnjd,1299,1048,157,0
lfba,84,170,180,1
rdsc,100,154,24,0
mstw,2813,495,47,1
bfje,70,5095,59,1
oafh,488,107,27,1
vkvj,52,305,142,1
nldf,13,554,189,1
afcz,1477,1010,47,0
zpus,744,550,65,0
aigw,80,448,200,0
fuzu,34,520,48,1
thfx,39,652,169,1
qalm,56,4738,170,1
xgvy,61,404,94,1
didf,2953,184,4,0
eovf,56,880,144,0
awgz,1331,129,199,1
cxbs,81,147,205,1
dfpz,6,320,87,0
wwji,27,567,160,1
gyzy,2198,643,11,0
kdyl,53,497,250,1
hvpy,2477,3,20,0
vwdm,97,248,0,0
dvis,43,6141,42,0
nbdn,2170,749,40,1
zscv,80,32,18,0
wydr,22,963,22,0
mfpu,2108,469,84,1
zemy,64,90,3,1
irdy,82,419,145,1
phyl,59,260,85,0
pdgs,48,244,189,1
pgfg,25,511,16,0
gcdn,63,684,206,0
agfu,15,34,58,0
cmcj,44,9946,234,0
qzfn,1093,76,103,0
svqv,31,117,58,1
tekp,1449,6715,186,1
dlxd,36,94,51,0
cbtc,70,745,6,1
rytu,54,7351,2,1
fmhh,667,80,21,1
sycp,82,764,12,0
kgnu,63,721,212,0
gfpu,82,1014,138,0
zkfz,15,887,156,1
hgrk,16,565,154,1
rqnd,2064,14,240,0
nqwy,77,508,91,0
ryid,1707,9308,90,1
qdfg,2152,813,23,1
ckxm,285,128,95,0
hmgi,7,1013,12,0
jhbk,16,1644,2289,1
pbff,70,10038,0,0
ijxv,14,1015,145,1
mohe,74,361,212,0
wwqp,251,3712,34,0
ltpu,1004,5273,9,0
hfoz,1473,623,233,0
ljee,155,672,17,0
ejvs,536,199,222,1
jenw,82,1060,9,0
oaef,20,961,84,1
lqdp,81,454,39,0
onqk,59,112,6,1
rrxp,54,211,7,1
ffqx,49,430,48,0
jmfl,555,32,12,1
hywv,11,332,99,1
gglm,36,277,33,1
bqhg,33,52,56,1
izuu,69,870,794,1
tnxb,76,311,32,1
ofma,69,58,4,1
jgie,26,540,4,0
ykgm,32,6432,244,1
ssvv,13,478,16,0
emtu,57,398,8,0
uufh,2545,1422,53,0
lsco,84,506,11,0
stlg,76,861,100,0
lktx,54,556,17,0
sgnu,444,3317,177,1
okgp,52,773,220,1
jldw,90,8512,107,1
yskx,1552,10403,231,0
kouj,1223,174,62,1
ilie,2973,129,96,1
lnrj,91,479,24,0
zpni,1507,419,192,1
wklq,1517,553,46,1
gpgh,12,124,31,0
ukei,54,797,18,1
qbnh,11,899,132,0
eibs,64,9963,207,0
kjyz,35,677,5,0
msda,67,397,46,1
yllp,5,6788,39,0
auok,20,796,59,0
oprr,76,4739,18,0
dkxo,64,360,61,0
yaif,1875,67,245,1
mldn,78,732,3,0
xqrc,76,560,199,1
ineb,97,994,204,0
hrah,20,3079,98,1
ehow,66,126,18,0
uhql,9,2263,22,1
pcur,84,283,17,1
hjyr,1630,232,136,1
uxsz,1559,5784,230,1
scfy,19,893,238,0
bfkj,16,1096,142,0
mfwh,1286,137,249,0
nzjw,39,658,192,1
dwio,1902,1052,20,0
xyef,68,2459,19,0
wyqp,39,665,196,1
bvfp,1782,118,23,0
vgpg,64,272,15,1
pmwd,57,1002,88,1
hjcf,52,403,89,0
emlr,598,937,21,0
lizr,2392,2212,18,1
yfrp,1534,0,9,1
nydt,2238,9315,20,0
tzso,75,910,118,0
nyav,2018,762,198,1
uyjy,37,10347,16,1
ydnr,19,272,142,1
ilzc,9,1071,10,0
dxhf,565,386,13,1
oggv,33,752,8,1
gwoh,19,5526,168,1
aezz,90,353,225,1
aprn,2435,9819,126,1
qmll,2371,156,3149,0
sokw,45,4703,2,0
zjix,592,962,60,0
zwlb,18,99,4,1
fnbs,41,1002,39,1
erkm,32,227,3,0
unlm,70,78,11,0
gktz,2162,148,203,0
mhbc,85,100,36,0
gvkj,306,221,25,0
avmk,97,402,220,0
rjnj,825,982,43,1
pyhh,87,476,174,1
ygtu,78,217,2141,0
guco,55,444,171,1
idyp,36,684,18,1
inrb,53,415,6,0
yjde,48,385,170,1
lqcm,61,435,2,0
fgsu,797,80,169,1
zzdj,51,992,4,1
bouo,55,295,57,1
jmgv,96,23,32,1
bvnx,1295,376,126,1
zmoh,76,8908,210,0
fwqm,702,8164,73,1
fbst,79,341,34,1
usva,68,138,204,0
fnql,91,710,2,1
bwck,22,786,168,0
ybfx,74,97,168,1
sxzx,0,302,5,0
oqnq,21,669,15,1
rwmq,11,3765,126,1
gzvy,18,633,207,0
bxrb,9,256,23,1
grfu,78,108,7,1
yhwn,4,143,19,0
arti,2437,108,22,0
rwaw,67,833,14,1
nhjd,37,715,157,1
xjsq,61,431,149,0
lhsf,1550,773,40,1
jfrb,2696,693,40,1
blvv,2,671,206,0
eyur,35,499,109,1
wbkt,60,115,6,0
mnmc,61,128,202,0
blrd,43,228,43,0
uwwr,39,334,242,0
xbvx,32,500,17,1
pirt,79,878,3,0
atkw,40,192,152,1
jwih,10,327,237,0
cwsb,18,533,17,0
ttvi,2724,147,167,0
fzcj,49,907,183,1
myba,41,930,51,0
myzl,858,1075,23,0
gsza,61,258,13,1
qxso,1,449,216,1
yxlo,30,309,2419,1
zkge,55,688,28,1
gtgr,85,270,24,1
drrv,91,4616,202,0
mhjp,1364,3517,13,0
rkch,3,1049,9,1
wbst,2564,54,236,1
pfpa,1546,21,219,1
nups,70,5810,149,1
vjwj,35,75,211,1
lvks,97,980,139,0
kbef,2,780,77,1
javd,96,820,77,0
bmzc,11,113,96,1
opnr,76,882,15,1
uxzv,6,892,9,0
hajf,70,582,62,1
vllt,51,253,16,1
zdau,97,2979,59,1
cgwj,71,4962,10,0
gamg,80,1041,163,1
ixtx,653,751,135,0
ydxq,1253,330,173,0
vnxs,1978,103,168,0
znnj,86,840,19,0
jdav,41,5774,155,1
dejr,88,3562,32,0
igvr,38,888,232,1
siyx,233,116,78,0
gzxb,82,368,10,1
xkbx,20,815,187,1
nxbx,62,117,181,1
ohtx,2497,428,56,1
djvo,59,230,166,1
cdlg,59,298,237,1
atbv,23,984,193,1
qhkl,31,1,28,1
ctmw,93,261,108,1
xnzx,416,126,188,1
ptue,34,36,1715,1
agkj,21,503,227,1
tkia,30,316,11,0
wbqz,56,1090,38,1
plkv,52,3481,8,1
yqzw,393,7246,109,1
xsar,1305,199,121,0
awzi,66,3991,1475,1
yeeu,2283,325,24,0
cszi,58,330,43,1
jzbq,2892,5810,81,0
unyv,73,984,130,1
ycha,20,8567,9,1
xfcp,2575,656,182,0
vvxj,376,693,14,1
kqmf,89,420,8,0
aqfb,1677,719,11,1
cnpt,10,1010,11,0
wede,92,829,135,0
zjll,1150,744,234,1
qewd,97,773,10,1
xapl,98,332,89,1
xyrq,71,148,244,0
sqpe,1726,823,13,0
elcy,9,157,215,0
lpqu,230,105,237,0
dbgd,5,239,3,1
wehi,47,3442,28,1
mosi,36,606,232,1
rktc,75,487,221,0
thpc,2041,479,25,1
vyxe,57,360,143,0
tzpt,76,862,12,1
vquh,59,361,112,1
fcwm,1130,946,1,1
mpww,2713,683,206,0
nzpm,293,518,3497,0
lcta,42,182,146,0
dgkf,359,1345,16,1
fxgp,24,22,35,0
vhvr,24,88,7,0
dwue,76,376,207,1
ivht,79,128,135,0
bftn,0,188,16,1
dwvj,41,979,1,1
pioa,145,686,195,0
ektv,42,264,240,1
tgmh,1539,40,171,0
oxdx,82,133,130,0
liif,89,944,17,0
oyod,2448,181,170,1
afqu,858,196,244,0
jtut,93,195,21,1
open,58,111,190,1
gjvn,99,726,44,1
qhiu,39,838,94,1
mlcd,1,655,12,0
fzui,9,147,138,1
gogz,643,931,146,1
aqfp,56,703,117,1
urzq,2027,363,8,1
onen,1830,148,14,0
gxaq,2228,136,80,0
eiig,3,272,229,0
qson,80,7373,16,0
tobh,14,71,2,0
