corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
ldys,224,160,123,0
zmly,1748,728,185,0
ojkv,16,4,238,1
yele,2073,694,127,1
abkr,81,90,240,1
ehqw,97,627,5,1
kguf,1175,175,64,0
nibd,2409,304,232,1
jsyf,54,7250,2750,0
dbsm,2957,99,237,0
febq,414,37,87,0
fays,13,4031,6,0
zuik,1695,77,210,1
bteh,82,206,159,0
mevz,1060,367,230,1
ynxy,2962,87,17,1
vskw,92,240,247,1
bwwg,84,25,0,0
vlwa,3,889,200,0
cept,2,19,167,1
bmsv,453,359,25,0
lklw,415,175,236,0
mvfm,232,9626,1,1
pebq,24,48,37,0
olmh,925,505,152,1
szcc,91,863,8,1
alqc,51,802,45,0
cgjr,891,653,200,1
tmtd,1603,188,220,1
cvtk,70,598,176,1
zqge,35,87,202,1
mpkp,58,214,0,1
mwll,1951,276,1249,1
mpar,2438,487,14,0
zkyg,2650,680,121,0
qyin,68,188,199,0
spgu,72,735,237,0
rihl,45,758,5,0
aavv,88,626,169,0
kmel,93,52,108,0
rspe,98,357,243,0
wyho,62,355,17,1
gjbr,16,982,67,0
rxvh,57,330,75,1
yccx,2030,180,11,1
oqwa,2237,719,3,0
meju,17,707,107,0
lfjo,1838,672,1776,1
oswu,64,255,73,0
ixbf,95,446,59,1
gkzw,48,127,23,1
ujwn,15,215,2373,1
fglc,28,838,5,1
kxvp,2173,601,36,1
pdqk,1623,813,217,0
rafk,53,14,11,1
tqlp,2201,244,99,1
vogc,84,1085,133,1
qvjm,226,151,3936,1
ztnd,94,86,66,0
ebym,1179,119,3778,0
bulg,2669,894,19,1
zzzo,33,6086,1,1
ycvh,1490,434,86,1
deze,14,516,120,1
gjjr,2870,10558,15,1
jkgw,238,955,788,0
eggf,27,1169,16,1
ezww,52,772,16,0
laqb,1905,185,23,0
kzja,45,4469,36,1
lpql,1881,895,22,0
qzoo,76,6362,156,1
fhax,1150,789,223,0
suux,737,289,79,0
fftg,327,31,148,0
qjsk,16,252,30,0
ojbn,13,354,1486,0
tban,6,138,22,1
vpdl,70,8,2444,1
auui,2053,942,3055,1
obue,18,520,16,0
pqqv,2386,418,96,1
euda,8,539,24,1
lsyq,747,51,2,1
werh,0,87,3612,1
vlzd,99,393,15,0
uqku,96,437,3855,0
jhva,12,546,174,0
jiwu,5,153,57,1
sesq,95,488,51,1
npbz,5,164,0,1
hyou,41,374,176,0
xane,99,9,83,1
zjjx,769,542,177,0
frek,906,566,156,1
hwlp,2177,397,8,0
avpf,444,211,173,0
voxd,70,673,180,1
fbww,52,9567,20,1
hxwk,100,80,17,1
makt,1720,321,1320,0
hemb,2677,781,38,1
wsxt,69,591,165,1
lmfc,56,166,117,0
zoqn,36,712,10,1
lqav,20,762,18,1
sdwg,4,1,240,0
jwgf,2364,635,108,0
qbre,1505,594,9,0
rlqq,350,10143,37,1
zyuw,1470,6597,15,0
jbnp,1006,346,12,1
ihdo,11,1075,171,0
iija,1600,256,19,0
idww,1386,172,195,1
iuic,471,3477,11,1
rrfs,7,935,78,0
hldu,38,125,183,0
frbk,2083,972,4,0
ymbu,13,18,1591,0
unva,765,105,24,0
bexb,9,10465,12,0
sqma,1719,261,2100,0
asqa,96,200,65,0
hzej,2847,456,64,0
tlys,43,283,17,1
osws,69,90,0,1
hkkt,30,254,3364,1
dfjp,52,219,98,1
csje,92,176,1530,0
kbpq,107,9663,168,1
kmuh,1287,3674,92,0
sgbs,66,170,191,0
nyyv,2430,299,14,1
cnjt,25,514,11,0
pdgh,53,473,15,0
wwnx,6,2656,3977,1
fpvd,2,5916,6,0
xksu,78,529,168,1
qebw,2409,411,17,0
yvbw,749,958,220,1
fbqq,2608,6957,132,1
hrfc,2752,202,18,0
qvja,26,636,37,1
llnk,38,290,2,1
fsnk,60,3956,159,0
eacy,84,338,1779,0
lxre,8,330,18,0
aoad,67,281,49,1
xovo,11,391,207,0
zhxj,29,187,61,1
slzs,12,8933,5,1
fgbe,2820,45,150,0
sbch,19,1450,1,0
nttv,97,183,217,0
oyml,73,70,2043,0
etpq,83,9,160,0
fotn,2801,443,11,0
zolo,409,987,3438,1
lksy,342,654,13,1
tota,1303,8477,206,1
fsck,30,360,15,0
isgt,2311,669,1898,1
zxqg,2334,274,3194,0
nyiw,1066,861,25,0
qzya,1703,901,161,1
piga,1811,462,95,0
vuzy,1954,860,215,1
xxfk,71,718,3821,0
dcot,33,1061,193,0
sxui,19,8484,238,0
pnww,89,637,5,1
khpb,64,9370,10,1
zrcf,2346,1050,1,1
nlmj,3,56,4,1
oyxo,40,401,3563,0
qlet,7,865,138,1
gljt,37,954,14,0
jbjl,48,1221,89,1
jjjn,189,672,8,0
nrqi,2350,985,53,0
bddy,38,761,3974,0
toge,47,10859,205,1
oauc,2404,747,87,0
pjpi,1031,242,213,0
aczt,972,310,3829,0
avef,1419,166,242,0
coxx,54,209,159,1
igix,1476,842,18,0
icgd,1433,335,81,0
gbhh,32,590,20,0
baih,1901,210,2784,0
gscx,81,211,5,0
vmnu,2599,3178,466,0
lnze,2775,4538,13,1
piwe,42,250,13,0
eiiv,21,3864,59,0
pyeu,85,3823,394,1
rres,844,602,3976,0
dxhg,19,281,79,1
fjhz,60,190,21,0
ngvl,987,64,136,0
wngg,2583,760,23,0
hpza,824,726,42,0
asgb,1415,3064,128,0
vdhx,1932,92,213,0
vdhj,83,124,57,0
umhf,62,140,8,0
caqq,2522,319,188,0
wzwh,76,222,3777,1
fjey,62,4524,3400,1
eyxj,651,636,190,0
kojf,1346,569,14,1
cujh,67,835,497,0
vhbb,1267,5478,25,1
jiay,58,78,218,0
egmx,0,1046,57,0
zjpj,55,530,0,0
kqru,61,1057,128,1
wwsh,91,973,56,1
wxzf,87,998,208,0
vwxv,2671,409,56,1
rtzf,1772,1069,209,0
pnfw,2536,525,212,0
zqdp,2323,601,46,0
flzy,790,1059,34,0
sukt,1124,205,211,0
cabp,1631,460,0,1
cmon,92,118,3455,1
tzoa,18,319,224,0
aaps,63,919,7,0
yoce,66,47,227,0
jsci,1188,898,95,1
qcga,84,190,70,0
uuct,216,1091,179,1
gljj,31,8585,91,0
kghq,176,969,3640,0
eujt,98,0,16,1
tvaa,76,7812,2526,0
hyfp,1542,71,121,1
flnl,1531,250,198,1
dzrf,1550,224,9,1
wzre,1113,251,6,1
brth,23,198,218,0
stfb,82,216,201,1
ogfu,32,88,5,0
xuzj,83,664,130,1
vnim,125,85,242,1
emmh,2242,815,21,0
pvxh,2620,159,225,1
wqkf,2140,660,21,1
bttx,1233,268,164,1
lyor,430,1082,68,1
oscd,79,233,4,1
ufpq,2367,422,24,0
aeis,1169,857,0,1
vgro,701,78,649,0
bsst,43,0,239,0
qeer,96,1001,97,0
kzpd,50,2921,154,1
fkvj,51,912,177,1
vkrq,733,364,180,1
pkrs,24,6136,10,1
wxlq,2401,393,1859,1
nbci,8,487,13,1
fljz,384,963,8,0
wfij,15,7260,19,0
tjnn,64,777,196,0
oilp,68,317,197,1
wazy,7,9,236,1
btlp,1877,200,76,0
yuuy,2182,6759,78,1
cgqe,1723,296,2067,1
dunk,88,133,20,1
lwck,2755,894,123,1
xqnc,1691,418,63,0
peru,38,541,3160,0
xzpa,88,440,7,1
kzql,2405,851,21,1
fzia,2160,961,244,0
gcel,22,524,159,0
rwch,77,365,118,0
hwqn,707,430,134,1
nelr,369,967,44,1
spjf,2125,177,245,0
kjaf,49,721,19,0
sujk,2296,10128,3766,1
zykj,73,7713,249,1
iwnz,678,718,20,0
inod,74,1045,118,0
ycln,69,1097,196,0
etfi,6,289,0,0
mkwe,74,10658,17,1
qvto,2516,8429,24,1
bpoo,2182,176,1,1
zvtr,34,1038,189,0
evuq,2106,377,122,1
ofbl,592,9478,247,1
ekkk,86,938,40,0
vwcz,825,134,23,0
kxii,47,492,3431,0
mdil,717,2117,69,0
zbbv,35,9923,1976,1
hdfg,2605,100,42,1
tbet,34,381,1,1
njqv,1638,381,147,0
nyfz,2437,10192,14,1
bhts,1088,379,94,0
hfau,81,1025,89,0
ysgs,85,168,3,1
yaxw,2644,5954,159,0
avbz,640,375,138,1
bqsz,53,1076,1019,1
bisq,2195,920,125,1
ekdi,11,8612,156,1
joim,819,129,59,1
iazv,2208,3786,17,0
fgxi,1553,688,211,0
ssvg,77,304,222,1
qvdo,31,993,186,0
oqpm,1287,129,219,1
pcvo,858,458,12,1
okvh,20,2263,73,1
vdvp,840,953,25,1
yovu,69,190,219,1
limy,88,981,239,1
nuqt,37,237,14,1
bnej,25,585,207,1
crxl,2384,367,157,1
dbjd,2264,220,2,0
evxi,491,1045,12,1
pegj,2669,723,99,1
jwix,6,164,1250,1
dqqs,7,304,90,0
sycj,206,1090,194,0
bshb,2637,374,22,0
dbby,1753,1570,205,0
vdma,23,878,1362,0
hcnn,90,6862,8,1
rnms,91,9151,3514,0
jysm,1859,129,216,1
npns,0,95,3092,0
omuh,74,589,5,1
okzb,576,9694,13,0
otkx,1721,630,84,1
kmmm,1493,545,2531,1
plgo,48,316,16,1
vvxl,1130,410,32,1
htys,65,516,203,0
ajcm,19,213,24,1
exjp,63,113,185,1
nrgx,42,3523,10,1
nvii,3,611,20,0
expw,2915,6928,127,1
jewa,2146,115,216,1
rqdv,100,558,12,0
rvcc,98,558,17,1
phcp,44,677,7,0
dqdt,368,1065,246,1
qqqf,15,668,186,0
nchj,1839,215,0,0
lmro,84,435,25,0
ldfh,82,292,170,1
xnif,220,727,135,0
svla,963,305,22,0
sprx,2,3360,22,1
gcaw,1213,90,12,1
nzij,14,2563,138,0
hhdy,2860,4208,56,0
wfdr,88,431,8,0
lwcz,2918,806,135,1
abxi,14,112,69,1
gdti,77,8646,12,1
pxke,1768,338,0,1
ydzr,47,211,91,1
jhqt,78,861,72,0
nxds,70,195,184,1
xpmk,2939,249,11,1
elce,1699,397,23,1
maby,29,779,23,0
huxv,1264,83,3124,1
nfpt,2885,947,49,1
omev,143,80,202,0
rvja,2013,5292,22,0
jqvv,17,3615,114,0
wsxg,56,128,16,0
ptby,99,388,13,1
zzgn,92,203,24,0
faqr,1830,7044,79,1
hoau,1092,336,226,0
farw,68,543,84,0
sjxt,80,6854,230,1
wtcc,20,24,63,1
blle,11,830,10,1
aull,930,528,753,1
xwne,17,5538,192,1
vclk,690,69,14,0
ivun,2481,344,237,0
ifch,69,14,26,0
rnpa,24,404,35,1
sisc,1517,579,111,0
wxuu,93,1022,13,0
umje,272,21,233,0
uxxv,47,958,185,0
yrbh,1248,322,1285,1
hiex,456,569,1743,1
qkxy,1633,793,180,0
xvvx,1,329,5,1
lteu,28,1069,15,0
prtt,1925,555,9,0
dzec,2103,1575,82,0
vdew,27,197,17,1
sjtu,27,299,2904,0
lsed,97,217,17,0
neff,1411,2663,163,1
budm,1283,637,11,0
prfw,13,266,143,1
mqqj,30,779,62,1
bzgk,75,950,6,1
ethv,874,1085,96,1
gxbo,69,215,183,1
cmve,1296,132,9,0
ppct,641,917,158,1
gend,16,405,56,0
cabm,2152,914,3792,0
vxrx,90,132,122,0
dsjc,2930,94,122,1
bqdk,2114,250,134,0
ueqe,31,362,2,1
toxq,1548,738,1834,1
jhnj,83,757,3716,1
jcov,64,9,163,1
qdli,1572,85,66,1
jkrp,31,311,21,0
iwmg,1739,309,2114,1
lxht,58,250,2749,1
vxdr,2947,10157,202,0
pdmf,41,5297,16,0
hnzz,81,303,6,1
lnvu,721,505,14,1
mzqy,946,282,1762,0
ocst,2556,230,17,0
adwz,2422,346,152,1
uyog,38,441,23,0
ygdn,78,8952,15,1
jarh,82,5530,30,1
qcrb,338,938,79,1
fbsw,1424,380,16,0
hfdy,86,596,140,1
kfpi,2523,217,122,0
dmku,41,142,18,1
hztv,100,258,215,1
jxdl,2080,7731,6,0
csyx,2351,200,90,1
klrn,27,627,198,0
vean,359,1068,169,1
ltms,545,47,14,0
zset,16,588,230,0
yakd,18,8048,16,1
stdr,1350,1028,1,0
cskb,29,664,2,0
ebfj,2312,2,7,1
tyqk,2459,116,21,1
wocz,29,282,231,1
ovlg,1564,635,177,1
sdsw,1412,414,321,1
dpyy,43,273,2,0
nhwb,2,35,21,0
acwd,269,274,164,0
xlzy,2305,163,158,0
vbcb,23,820,32,1
ynay,79,128,15,1
tsax,12,8036,157,0
qzux,1301,3,111,0
hejd,87,216,2874,0
cusk,1682,1206,175,1
fdeb,979,60,22,1
assp,2690,161,3855,1
nnxg,69,360,219,1
uqfy,186,116,17,1
ctax,56,428,21,1
jjtc,1127,808,3883,0
ftms,87,265,247,0
vxyl,81,227,16,1
rtrm,2177,285,189,1
pkkx,2117,173,108,0
lutc,2164,271,10,1
nyvr,2272,690,125,0
owdm,80,8134,20,1
dnap,1682,871,217,1
muep,1049,240,41,0
awwg,476,45,6,0
bilv,2160,542,2999,1
ppyk,1256,1734,110,0
hqtp,1615,1045,193,1
zqqi,166,307,230,0
pshg,68,1074,90,0
ellv,651,171,101,0
bsra,1259,3072,3054,0
uuwg,62,398,45,1
aczl,842,299,103,1
ursm,62,450,4,1
pxfj,53,1946,18,0
xglk,2256,234,202,1
smat,39,231,33,1
lwjb,722,1016,7,1
hqye,1614,7,187,0
bhbe,67,366,234,1
ethv,56,243,189,0
vbvp,76,146,241,0
zahy,22,919,24,0
qrxz,36,1355,11,0
iivd,1536,358,128,0
qwuz,79,490,146,1
urqy,45,242,54,1
ukth,33,203,18,1
jqqu,43,8134,3409,1
oofb,1955,1080,15,1
cjtr,786,208,136,0
uqdv,67,1096,70,0
oaiy,2398,252,214,1
uztu,1496,903,1,1
urdi,851,625,7,1
zkdv,98,299,123,0
brua,57,787,102,1
tzzy,359,171,13,1
kwuf,99,129,160,1
vout,1401,67,3872,0
htbd,966,492,206,0
aljt,55,574,216,1
pcth,50,4733,16,0
scfv,1268,741,22,1
kmwo,2572,688,188,0
wbte,4,397,6,0
ujdf,85,9313,145,0
lsvg,2943,132,113,0
dtbu,2537,878,20,1
mlio,18,357,13,1
