corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
aclf,18,228,986,0
uecp,1538,3,153,0
xshq,9,469,4,0
glww,82,3212,1009,1
eaei,2331,840,1197,0
sdae,4537,571,1885,1
odcm,2353,212,201,1
mbgg,127,8619,306,0
tdxd,23,3,25,0
ozag,4545,2670,273,1
qkty,70,339,446,1
tjpg,2695,557,1870,1
etwm,24,586,0,1
fcla,1704,24,614,1
ydfp,2307,3079,19,1
pawf,22,5413,12,0
cvxt,84,8824,1515,1
aijw,1805,135,314,0
byin,16,2,13,0
vntu,1980,6502,485,0
firf,6,5066,1923,1
xmdp,39,42,22,1
jgkt,2683,46,635,1
ksrt,37,2552,121,1
dvch,90,166,284,1
wssp,897,506,544,1
vgpw,93,121,10,0
xeth,2506,15,1551,0
drwa,100,199,1694,1
zvjk,77,379,594,1
kxrt,19,7262,20,1
dktc,37,2219,107,1
jzxl,1488,285,225,1
fvkm,31,465,389,0
wnxz,80,594,11,1
bmxe,671,253,20,1
ktjy,1,545,12,1
wlzn,3705,5591,58,1
oruf,2364,131,631,1
hsit,317,5159,217,1
odby,150,446,1655,0
sqna,88,7640,536,1
lvac,636,343,0,1
ksbh,52,6522,700,0
beyp,1812,21,83,0
rqld,1904,147,1054,1
ckeg,90,346,6,1
aidm,4151,456,19,0
avmr,2942,2396,630,0
lxot,8,107,211,1
ddrt,4563,116,20,0
nxfa,42,206,43,0
gtyd,4415,556,390,1
seyp,4998,546,1135,1
xdgn,15,429,433,1
rdxm,2283,36,46,0
ecua,10,6779,400,0
hihx,18,309,1869,1
ftwq,34,99,526,1
cbqk,1672,56,327,1
kdgn,35,327,311,0
hkto,1520,61,114,0
vuqr,23,478,455,1
wwfh,2549,3172,313,1
dbvs,933,103,368,1
lkjn,16,2562,1,0
icjx,3,2197,405,0
xmac,3487,68,441,1
kjeh,27,8,165,1
xpby,52,3567,1766,0
kkxt,71,690,485,1
kuik,69,6784,104,0
clio,1,4650,18,1
hmnn,1675,122,585,0
aimj,4425,221,17,0
wzal,563,2024,352,1
hlzr,2602,3707,307,0
zmpa,40,49,1348,0
pwlm,50,266,139,0
ribd,50,3105,529,1
wqkp,4653,6934,224,0
ayxc,3439,0,4,0
eyor,2023,65,16,0
jhhb,1218,319,25,0
vnpu,17,59,20,1
tris,2188,567,190,1
hlfv,69,356,536,1
gyqq,35,1421,1991,0
xmpn,537,379,1294,0
ttbj,2180,107,552,0
oxxe,11,487,1707,1
spbr,95,354,1158,1
huoh,22,121,16,0
ttbr,432,7114,0,0
eoci,37,89,68,0
zkrz,1524,548,23,1
fftx,868,96,211,0
tonm,69,103,1,0
yiyl,21,5044,345,0
wnum,71,102,209,1
vudp,620,346,155,1
rsqz,392,6205,149,1
wcfq,4435,457,0,0
arrg,4910,20,19,1
qukp,223,316,510,1
bnuu,77,4835,391,0
lmee,78,2894,613,0
jeak,3115,497,469,1
xqzs,965,180,11,0
lyhe,3528,436,891,1
yred,71,522,521,1
ylss,4636,589,617,1
oewo,17,3783,198,0
ezoe,6,502,291,1
ifan,1061,113,567,0
zcmo,3687,4197,565,0
nqwr,4732,578,560,1
znch,1000,81,3,1
svqu,893,172,21,1
oklu,79,233,308,0
gvas,66,473,156,1
cqqd,32,126,125,1
bcls,80,284,322,1
flht,4245,5649,1873,1
ctmd,465,67,11,0
aapk,21,18,6,1
yvau,717,183,77,0
zlbh,40,524,1521,1
qrxn,46,33,20,1
vhqd,8,5368,0,1
rppm,524,141,2,1
ntvu,55,65,361,1
uxfe,35,5426,1888,1
sjse,4088,4182,1677,1
btmy,51,53,114,1
uylz,60,7,551,0
btkt,872,460,14,1
wytz,748,272,508,1
rgeq,41,130,199,0
jerv,2615,69,16,0
bcgt,85,325,0,0
hvls,70,75,1745,1
mizc,4320,270,0,1
uxix,1111,1144,17,0
stuk,2047,86,506,1
zahs,48,121,168,0
gvjr,52,6539,11,1
skfj,3,6850,55,0
gtlp,411,100,567,1
fcaz,64,2397,144,1
mfrw,67,11,375,0
rczv,1963,6415,320,1
oqbm,2831,339,525,1
qlqi,40,38,132,0
ansk,29,153,326,1
dgqa,4246,349,437,1
mudv,4895,389,23,1
rtir,1382,8904,3,1
wlgr,3989,397,108,0
luva,182,150,413,1
jaln,82,3862,12,0
jtgv,3744,8640,122,0
kese,68,8685,1251,1
aedt,86,7213,177,1
bwzh,3623,384,270,1
ubil,45,58,0,1
orvf,14,529,987,1
ihrw,99,564,159,1
bbjd,870,8120,500,0
vtlm,44,14,321,1
mtmr,4126,57,15,0
shte,1491,405,5,1
iymx,334,270,1603,1
dwno,55,582,15,0
koor,3261,375,7,0
ygzu,40,1277,143,0
awbr,57,321,255,1
mzhh,86,391,1434,1
evlg,34,249,297,0
ylig,4770,7578,55,1
tqju,71,6897,456,1
cuno,44,457,103,1
sjwm,4091,7517,504,1
bxgi,67,121,386,0
dcjf,225,216,511,1
qrfz,66,16,1095,1
tgku,319,35,385,0
xlgd,56,90,521,1
cfez,63,2,345,1
gsli,48,72,131,0
aezv,1637,80,9,1
octw,83,8,20,1
owvl,83,1332,11,1
xndf,35,121,19,1
mnwq,94,140,647,1
amfu,2470,286,1844,1
iflr,614,48,5,1
fwby,86,4828,18,0
tcqs,29,28,63,1
xkoz,96,7004,19,0
kqdg,64,39,191,0
furi,3314,87,1022,1
thbo,99,3720,18,1
jpxg,1465,459,8,0
sapc,32,231,591,0
esov,98,1474,390,1
rcog,499,226,1277,1
rbxp,20,87,1249,1
iush,35,65,927,0
uyct,1554,64,14,1
xrpu,3,96,550,0
ypvz,11,299,512,1
xsdm,61,4736,620,1
srkr,4961,556,235,0
bazn,1582,369,473,0
sjly,2545,156,387,0
vmse,76,112,16,1
olyi,2,3563,331,0
mxoa,25,140,40,1
kqwc,3909,342,302,1
aqkd,4051,537,650,0
nizy,2359,110,572,1
mcgp,38,478,19,0
jhfy,16,5,638,0
udlb,4783,214,1626,0
weob,63,188,139,1
zdtc,4469,552,264,1
vxjf,749,241,539,0
njwt,19,187,242,0
bcav,749,357,2,1
xnkh,1448,339,398,0
axdc,44,225,1779,1
xsqi,4626,6855,1264,1
okpp,32,4271,1235,1
fyzs,2429,115,0,1
hdhj,5,5426,1425,0
qjdf,79,110,13,0
zkpp,3127,90,738,1
irts,76,404,8,0
hyno,24,2452,57,0
nxhz,3731,284,20,1
fehe,81,323,600,1
xbpu,3269,102,479,1
jvyt,6,1585,2,0
lkcc,2037,1003,583,0
vrpb,4903,8,197,1
tozf,38,47,390,0
orqa,10,475,1,1
erby,11,280,24,1
wtfv,2007,20,24,0
uoye,94,531,21,1
qxdy,78,6718,443,1
nhjx,37,98,637,0
xhkq,4396,79,17,0
yikj,53,595,314,1
zokx,4804,200,381,1
dydu,3463,300,203,1
lvds,4,33,584,0
ngzq,83,140,299,1
qqjy,2397,300,24,1
hccb,474,210,441,0
qpur,47,184,583,0
reou,3180,2233,20,0
bcty,1354,2848,6,0
ipou,62,144,1624,0
gblh,2755,4785,30,0
obcc,3239,2310,92,1
xrea,33,502,1729,0
nleg,3881,119,1623,0
kzov,55,52,276,1
flzs,3986,485,1252,0
gcij,385,377,19,1
vssm,36,120,15,0
haog,2814,117,22,1
ekht,52,474,454,1
nolc,73,14,23,1
hhcc,4708,29,8,0
zioq,2607,449,23,1
eban,56,278,1907,1
lxxo,2498,2058,4,0
tohl,72,149,1170,0
rlzp,3983,275,1671,0
xzfh,77,359,144,0
ukqe,4456,392,407,0
wshf,2443,2064,1269,1
mdbq,2332,38,1146,1
mwtb,67,329,1252,1
mimt,57,305,19,1
ikme,1131,6703,498,0
bioq,78,563,124,1
yyud,692,7100,132,1
bcih,469,151,25,1
bcbr,16,834,42,1
dmrw,38,590,543,0
jbeq,91,40,182,1
zizu,4429,16,16,0
sqnx,2644,110,211,1
hjby,3947,33,200,1
ygwp,4217,25,183,0
tgjc,89,393,495,0
orml,34,459,286,0
bclq,85,127,576,1
ucvx,1697,16,126,1
aaxr,4737,415,12,1
pbki,1761,1251,114,1
mkii,2844,49,386,0
oklm,98,79,820,0
abvg,12,168,25,0
scrt,576,349,1739,0
sxuh,401,12,107,1
xwvz,1833,114,53,0
wngy,14,540,448,1
ukly,41,6467,273,0
lfwn,4479,24,348,0
knar,71,84,555,0
mbfm,2,54,568,0
dktn,92,113,492,1
bweh,3,469,244,0
uiyc,1115,150,150,1
njet,91,267,1,1
xeza,4981,127,280,0
ukoq,3821,574,364,1
ucgi,0,50,16,0
uzac,3,2760,535,1
zxqg,1509,58,1826,1
inkz,34,36,177,0
shsg,3838,35,62,1
rixa,30,575,0,1
ddub,4,477,79,0
wpql,7,1864,519,0
tiuw,41,91,550,0
wmam,339,199,495,0
exxz,2512,147,5,0
aghs,87,328,167,1
abdj,1970,321,1895,0
otul,2779,147,257,0
tuwp,14,247,1816,1
kfjw,64,377,754,1
ndji,86,55,118,1
sgby,1787,315,17,1
sbuo,4899,115,3,0
couc,4179,403,133,0
eing,52,6627,579,0
xsey,4548,7235,19,1
bhlq,3510,131,1004,0
rhcy,16,127,226,1
rrlz,2905,145,283,1
odlv,54,208,241,1
gwvi,86,39,1910,1
wquq,2828,235,1420,1
gogf,747,87,99,1
bdga,4912,6318,13,1
uccr,353,163,301,0
dfwk,1293,217,261,1
qgek,3357,186,1738,0
rfap,36,203,397,1
ndmw,78,475,75,0
dfzl,2720,491,19,1
rwfg,72,6758,1931,0
mqdj,2373,1644,21,0
nqtn,66,98,21,0
yzri,1299,450,21,1
tivl,58,479,3,0
brri,67,408,551,0
tgza,25,476,353,1
lsfq,87,413,4,0
inkp,1477,3631,17,1
cctw,42,550,18,1
hdjy,2759,383,316,1
qwlm,59,553,23,0
chao,2328,1168,584,1
inzh,14,3983,1959,1
jrvf,95,135,238,1
utsz,1025,423,828,0
txls,3324,399,12,1
decn,55,249,538,1
simh,2223,1,6,0
mrmw,1004,427,8,1
yxfr,1579,34,17,0
wbqk,65,417,9,1
jlzc,661,1158,1973,1
ophl,1601,160,481,1
sxxl,88,136,11,1
wgbu,1147,269,0,0
qqbw,85,99,6,0
lqan,949,7754,16,0
sphe,2921,3909,119,0
sygm,49,469,508,0
vjma,3885,28,1856,0
tscf,322,49,205,1
thwa,25,130,781,1
sqba,56,5178,644,1
jjwh,1937,2176,43,0
ogon,3516,145,392,0
mcub,3517,399,16,1
doim,90,7244,301,0
wsis,2498,94,1056,0
ecsu,64,1046,13,1
didd,97,292,1486,0
lrfc,61,156,1316,0
psvx,88,80,739,1
fxsp,12,2649,0,1
jfsf,71,116,8,1
cssf,4597,343,598,0
jfcq,90,6019,1,0
adcu,78,4969,1756,0
tjom,75,146,53,0
qthp,1849,416,483,0
wuxb,81,180,109,1
saxr,33,434,780,0
wnsi,50,6591,414,1
krdv,649,19,534,0
kzyj,2125,117,213,1
gpkj,18,2338,1425,0
semq,64,91,565,1
bfhs,83,508,497,1
avdf,9,568,647,1
iqbw,837,7723,168,1
nwzt,4601,408,230,0
ywrs,1525,8302,315,1
ogof,0,113,614,1
rvcu,1404,36,515,0
nmxp,1128,3561,289,1
pjua,3378,6698,596,0
fija,3527,189,1150,1
evqp,31,473,563,0
mjeh,65,434,119,1
hiwd,1744,8870,346,1
aipw,85,99,401,1
lrkj,3839,50,8,1
xlsg,1353,4294,52,0
kyzl,1982,7315,28,0
jncb,1299,502,390,1
yylc,379,216,1898,0
rihw,3206,21,20,0
nhtu,30,359,26,1
bpzc,361,3466,87,1
tqnp,2065,6899,438,1
qbml,94,196,9,0
kjzo,24,268,39,0
krzs,65,467,443,1
atly,23,475,1838,0
omuo,3278,42,16,1
cvkc,269,6016,5,1
zlut,31,64,1223,1
xfve,1684,4129,10,1
xicg,38,2140,154,0
fgzt,42,6582,1547,1
kyxg,2439,423,1963,1
eebw,2707,302,519,0
skhe,31,100,344,1
nuzd,65,214,15,0
csxe,1,577,5,1
ncuy,3257,264,176,0
tvph,70,1248,85,1
ojsy,621,1208,117,1
ajvy,100,8817,630,1
fvln,2600,4475,9,1
odyb,77,290,117,0
thjq,39,99,268,1
xksd,86,26,475,0
klpp,0,315,2,1
kesn,3379,245,327,0
qvuo,93,240,959,0
yuaw,2980,49,313,0
ipdm,93,5846,166,1
bwcj,2534,444,22,1
fhsz,66,5897,412,0
ivhn,3200,527,134,0
nvfa,23,570,49,0
sqvr,7,4,19,0
mtco,81,2,16,1
xuny,346,4116,475,1
mgvt,91,41,855,1
enir,1075,399,997,1
pupy,57,477,1202,1
rghi,99,371,4,0
lpoh,64,4720,474,0
wvlw,4255,491,1297,0
llrg,4766,105,369,1
zcph,6,466,4,0
yqvv,85,90,547,0
ipal,76,40,1586,0
lfho,1917,347,359,0
abke,57,355,2,1
pnfa,53,32,20,0
kdnl,962,514,404,1
cukq,4321,3206,3,0
tiko,1805,1533,318,1
grhk,208,133,484,0
puoh,2022,254,13,0
iani,4716,232,74,1
tksm,733,300,620,0
zumj,63,6401,24,1
llvm,21,266,18,1
dmdm,36,144,7,0
bzbx,1499,83,176,1
rgjf,1847,4374,230,0
vvdi,14,165,12,1
isxf,1988,373,20,1
cxus,100,2251,276,0
iwbl,4795,76,1430,0
cqls,98,116,294,1
wqyo,4544,405,1096,1
vgso,570,6995,161,1
gnfm,93,172,250,0
cbft,98,5865,22,0
tuni,33,270,21,0
seeh,871,328,205,1
fqxc,2002,39,646,1
skpf,55,444,93,1
iuyx,4572,145,591,0
dedp,90,591,96,1
mbpl,51,129,1490,0
ncfu,3587,124,25,0
auwc,1804,2538,916,0
qfnx,609,8307,1,0
ckxv,4421,6492,3,1
cnnu,3199,507,351,0
xqkm,825,405,196,1
xkxu,4342,61,1989,1
wcbn,23,538,79,0
dtrc,39,7883,21,0
wzyt,73,729,174,0
dpzs,3281,380,177,0
iojt,4200,2440,412,0
ydmq,3951,97,402,0
gzry,2116,412,47,0
fsrb,48,385,184,1
rlki,79,89,4,0
rrfp,30,395,556,0
ecna,3109,566,343,0
ezuo,3460,5748,1193,1
zcjc,4984,771,152,0
cnnc,30,118,791,1
mvdt,1210,9,520,1
obmj,1280,63,26,1
gjng,32,7351,311,1
sagz,4526,17,55,1
pkty,60,571,50,0
lxmy,31,122,2,1
mtns,63,62,1395,0
gotv,2882,34,307,0
biej,4265,296,531,1
zzmi,7,42,559,0
bgbi,3624,137,18,0
rquy,1665,7204,6,0
zkut,4350,1376,553,0
mmfg,1876,461,485,1
otob,7,141,777,0
gsar,224,525,1421,1
iiko,4062,1323,5,0
oyrc,19,6,57,0
vomg,3475,466,20,0
yjzh,4932,59,25,1
yxmp,978,190,1510,0
nupv,643,510,241,0
refb,13,8125,2,1
vfli,74,5047,312,1
cbfa,9,81,3,0
fstg,1155,344,124,0
pevu,55,4979,46,1
rgdm,67,126,649,0
ohyo,3,354,241,1
xdzt,1796,5029,449,1
cyyn,1945,508,1077,1
gmid,47,186,409,1
upqf,47,6957,514,0
bppi,43,201,593,0
lqrg,2112,319,440,1
vmry,30,1899,1031,1
pgof,1257,433,488,0
jgnd,78,8700,1920,0
ngmc,40,199,625,0
mess,88,65,251,0
fnhc,3709,3884,1857,0
susk,99,124,126,1
sfmi,1788,5168,842,0
cqns,1077,407,3,1
cfxp,3041,119,254,0
aids,58,133,385,1
rpgr,72,123,1351,1
xmxr,4448,8272,25,1
bwai,20,156,18,0
mkib,2712,514,5,1
lzya,100,54,613,1
ngpc,61,486,25,1
xmte,3812,2850,1304,1
iuun,422,5390,23,0
okks,41,325,1832,0
pfix,4013,246,0,0
jcan,4868,178,17,1
cnrs,4583,130,406,0
gdci,60,7343,42,1
ebqi,39,353,422,1
umlo,12,14,199,0
aiet,4252,92,153,1
zuox,252,8219,1687,1
dggj,46,2223,240,1
oxqa,78,75,19,0
fqqm,4742,11,251,1
azbo,36,387,266,0
rzkh,29,6107,586,1
rjww,29,238,333,1
jwxo,2782,4715,379,1
usyt,17,5,75,0
zkbn,414,337,292,0
rlff,7,299,22,1
cptq,54,94,79,1
nihf,18,296,14,1
rsub,631,24,23,0
rykj,4960,445,7,0
zdjh,3,112,9,0
saqu,3407,1945,629,1
eepj,85,1404,1049,0
csqk,86,10,121,0
vupu,71,182,1805,1
fhda,491,248,253,0
qnhs,203,144,407,1
nfgn,9,2843,19,0
mikl,66,42,250,0
vcxg,2475,447,1881,0
kwcl,23,59,1545,1
youj,29,1947,22,1
wsur,19,133,1325,1
vxfr,97,90,188,1
uqzx,38,8592,209,0
bowg,74,3290,1818,1
tmdu,24,242,640,1
oamm,26,2234,55,0
kcqc,1545,542,18,0
gguh,100,1916,511,1
ahjq,3311,3132,1836,1
ltfr,82,5546,1820,1
mcii,2471,76,2,0
vxtp,1607,6068,20,0
ixit,56,409,9,1
vdah,3262,48,537,1
jbaw,0,353,1951,1
gvev,2444,2379,123,1
vfvr,2599,446,473,0
gzph,30,143,6,1
nfpm,41,9,351,0
nkmu,7,32,593,1
ugwg,202,465,4,1
ntiv,70,11,24,0
nsrw,4610,428,83,0
jmkq,1939,443,9,0
yrxz,65,95,16,0
sixd,9,105,1645,1
rddu,92,119,179,1
dxla,44,470,37,1
vpmz,4663,592,18,1
lfky,2814,598,2,0
xvmo,2996,197,1909,0
bccb,2411,123,10,1
aaha,1662,57,98,0
qwco,10,8183,12,0
xvec,100,137,331,1
qtid,2619,1465,6,1
vedc,2912,399,18,0
gxjv,43,264,579,0
whbz,55,587,161,0
hgrs,30,219,76,1
gjxi,828,7082,587,0
ajbe,487,2817,1518,0
bpuo,2790,284,19,0
ucok,18,2,103,1
ogwp,605,402,19,0
shqb,46,293,219,1
egts,89,69,0,1
fnhw,16,53,18,0
dmwe,58,104,132,1
qhqh,3311,64,186,1
sdfh,29,150,1419,0
rbqm,59,426,1936,0
vaku,1324,8161,392,0
fuca,46,400,514,0
juto,91,120,24,0
fbyu,1641,29,15,1
ygce,82,1443,1131,0
lmsw,49,8,3,0
mnxt,1377,395,327,1
ovbk,907,186,25,0
fpsc,4865,150,495,0
tjoc,4161,48,435,0
mbdq,4154,145,78,0
ircu,62,281,435,1
gdza,2371,36,16,0
mgfz,40,4167,95,1
rlvt,3226,207,1858,1
cagk,61,41,271,0
wlrt,1071,83,249,1
zywl,39,2378,226,1
dbav,3253,113,8,1
lidp,4078,222,610,1
fhlp,3065,251,14,1
vqcd,2619,96,16,1
kewp,4469,337,8,1
ybbp,4932,8677,19,1
nqzk,2565,1746,42,1
rqvs,4458,317,176,0
xgvi,1176,2256,724,0
nous,65,114,5,0
gvor,67,3375,6,1
afab,1152,40,528,1
sgml,25,5135,745,1
zdls,98,565,269,1
vgaf,38,344,3,0
zkqn,2719,96,12,0
uryd,49,7755,4,0
sttz,2358,2496,163,1
bxkm,86,372,457,0
xlmj,81,73,22,0
adwt,1269,521,552,1
xxaa,403,193,423,1
mdjt,67,579,196,0
ayfq,4793,83,417,1
jvao,4792,580,357,0
twmw,42,4399,355,1
nzuo,2469,474,38,1
xarj,4357,184,323,1
nhsi,3284,141,3,1
kkol,96,49,1690,1
ryas,67,278,456,0
aswx,59,65,5,0
udui,3105,272,203,1
ngru,379,37,316,0
uuyh,4094,1171,496,1
sodm,1761,551,4,0
zexi,71,117,199,1
vfko,91,560,16,1
gqag,75,3297,500,1
tleg,3698,454,0,0
bbfm,1976,3196,625,1
sing,26,573,10,0
jiko,3,117,426,0
snpd,3751,93,24,1
nyud,2848,277,166,0
dfab,9,4759,1520,1
xqyd,4869,327,583,1
kvcy,1764,197,498,0
tzjz,32,459,595,1
iskc,3104,499,1972,1
xtsz,1,4869,340,0
cyen,97,8654,16,0
ijiy,3240,267,577,1
hqpc,8,6041,13,0
bjtq,1756,327,300,1
ivbg,3314,8679,567,1
vfgp,34,147,619,1
onwk,4411,243,56,1
jtjn,70,3974,10,0
pqsd,1926,2658,1713,0
gmyv,7,3573,5,1
bdpk,1936,3093,115,1
wxfu,2068,317,413,1
srrq,949,329,110,0
luvs,1107,68,8,1
tldw,3726,233,1165,1
cjei,47,400,21,1
kmff,763,394,5,0
ovrl,56,2928,10,0
rtsu,21,121,597,0
jnak,0,35,31,0
xmpg,91,389,378,1
fcov,4661,145,1617,1
yehv,2391,190,73,1
hulu,2372,447,347,0
glyl,4646,6123,9,1
ksko,48,38,83,1
bxwx,4425,6873,1582,0
fgra,2720,283,22,1
bsqp,0,403,235,1
pyku,4090,4322,9,1
wgqu,3677,3145,274,1
daat,83,4,1383,1
kowe,51,399,75,1
zxaq,52,240,842,1
vzmn,100,448,417,0
rtgz,46,70,96,1
rbxf,18,78,18,0
usnx,7,90,802,1
