corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
knku,39,8810,485,1
copc,744,7598,193,0
qtqm,3875,21,104,0
wpyd,468,9,188,0
szit,40,4365,12,0
pify,56,2445,433,0
xwyj,3044,3377,424,1
aywc,1899,1840,5,1
qjgq,79,16,436,0
qfbb,27,52,1744,0
xuzh,87,73,23,1
lkwa,28,3831,24,1
hzqf,3905,908,238,0
tzax,100,121,427,1
hpnm,3558,185,1765,1
isxj,59,30,337,0
amsy,76,45,992,0
jtpv,2562,396,492,0
wzoh,40,10,159,1
zzze,57,491,414,0
mipp,40,361,23,1
debr,22,8091,563,1
dyru,3650,460,1370,0
eokl,68,18,24,0
mkox,2492,37,430,0
ucwn,85,245,1180,1
mntt,53,24,10,1
gulu,83,536,105,1
fkap,48,252,9,0
pleu,2033,149,1424,0
snyy,23,103,48,0
hvhh,87,96,173,0
ainh,3381,410,0,1
ytoc,280,113,601,0
aegg,45,516,1,0
vrjw,33,6886,21,1
xyfp,44,97,9,1
cbza,365,175,744,0
puqd,42,4115,935,0
kkqm,53,44,740,0
saxa,2,61,21,1
scip,29,85,10,0
izxv,4310,90,229,0
ufhh,4436,4008,24,1
yhuk,3106,2084,596,1
caov,482,2978,504,0
ezst,4,2243,16,1
whad,3946,82,15,1
lnqp,72,413,281,0
lvqo,37,172,594,1
xwdg,2175,493,869,0
mdve,33,81,248,1
bine,53,425,408,0
bffn,4737,198,310,1
asfo,5,5661,301,0
lyht,1198,432,6,1
zejc,2749,8455,203,1
ahfu,2140,579,72,1
wkik,79,3668,1129,1
ejuo,1954,2021,142,0
oume,3249,3008,485,0
fhoc,12,6943,188,0
uovo,55,340,781,1
bhaa,30,503,535,0
wmfe,4675,34,20,0
drcp,2494,7684,461,1
kkqv,12,565,0,1
bqfb,1308,84,1547,1
embx,28,315,233,1
hski,57,20,542,0
txcf,1776,5120,203,0
lcaf,95,538,21,1
stzp,2724,85,14,0
ucuu,585,40,1931,1
dzzj,583,36,521,0
kjtz,1487,276,526,1
roha,61,181,9,1
bygk,2403,148,605,1
brxd,573,2654,1764,1
xvyw,3282,292,280,0
tpdv,35,136,0,0
dlkj,4951,424,258,0
qtfy,52,193,22,1
bgoc,80,6788,458,1
fubk,38,413,89,0
nuqu,37,454,3,0
kodj,61,78,1761,1
iwvn,1249,63,42,1
vxxj,2514,209,1356,1
yrei,2366,106,24,1
ygtq,17,260,352,0
zhap,4629,12,12,0
aacn,2927,2660,12,0
bucv,23,83,243,1
txto,3053,249,17,0
fhjt,3316,8027,122,0
xyla,3028,8778,17,0
nomj,841,120,18,1
lppo,290,5216,620,0
xgjd,89,143,24,0
bafs,79,39,375,0
loka,12,50,15,0
brox,1750,374,279,1
elnb,2725,2061,601,0
hegz,22,600,477,1
cyno,49,36,0,1
anwj,79,190,411,0
eqcu,78,1892,606,1
nzkl,4352,8008,506,1
boiz,40,369,862,0
gmte,952,580,573,0
qmgs,23,186,49,1
unom,285,65,12,0
bbff,3791,30,21,0
cejm,370,6800,374,0
htyh,78,68,1939,1
hdam,37,129,17,0
qkgn,577,215,31,0
wtuk,21,373,753,0
hppq,4268,86,245,0
qwcz,3882,440,1660,0
afuv,56,1723,349,0
grmu,45,229,566,1
xbxo,4092,268,16,1
oynk,36,349,404,0
gqlr,15,5812,87,0
eqld,2263,6352,1788,1
eoux,51,476,14,1
kvem,82,323,15,1
odtl,20,472,18,0
aoom,4198,7015,329,0
elsh,599,2383,1507,1
mmjf,989,199,629,1
wdrb,46,214,135,1
spzn,2653,12,1616,0
vmyi,2880,0,1427,0
hrnr,2507,302,1318,0
wfuc,4967,2265,545,0
voze,13,462,24,0
uxnn,1360,5433,97,0
vmsj,84,39,34,0
imun,22,1443,335,0
drmu,32,127,620,0
ftwn,2544,120,21,1
sbmk,20,332,9,1
scot,88,60,158,1
jirt,44,275,131,0
kwjh,90,1037,117,1
oaxt,22,294,382,0
fdwq,83,128,19,1
lhsw,97,101,21,1
jxeh,0,87,546,1
pgsi,78,5467,1094,0
chli,36,196,252,1
jxpf,41,5342,13,1
jqct,1975,329,8,1
fskl,49,142,9,1
uejk,34,63,1346,1
llpj,4463,48,78,0
gcbi,1045,264,552,0
jsdr,732,18,549,1
iigj,28,211,1934,0
fipm,4361,1312,25,1
hoyb,813,4,3,0
yrjq,131,46,183,1
koqm,96,263,864,1
reko,4,134,451,1
yjkd,3353,2221,161,0
bfig,43,3516,1613,1
atal,89,254,18,1
kekk,1387,271,521,1
ymti,474,78,1513,1
hypn,64,5318,9,1
zfgo,43,574,16,0
yqqu,37,82,1819,0
poss,1371,1,231,0
xajy,4467,1696,18,1
hycl,1636,483,1042,1
wdfh,76,360,109,1
scah,52,118,53,0
ldld,3820,145,149,1
qpwu,99,8175,528,0
mlio,1265,210,205,0
azyo,2434,1942,8,0
bomc,59,322,1529,0
zfgy,4358,107,7,0
bqmm,8,320,1554,0
pupv,2932,4,1891,0
apkq,4058,174,18,1
yftk,93,146,17,1
pfke,37,252,479,1
zswe,4604,192,33,1
leaa,4120,4358,629,1
ghcj,117,443,19,1
nzws,307,83,85,1
ilpl,3650,2975,975,0
tnpx,60,10,532,0
dqmg,4319,232,138,1
uoqt,76,120,23,0
qqpb,81,943,172,0
vorx,12,6767,16,1
uavn,963,134,1125,0
ynml,2517,193,1562,0
zdut,1667,416,6,1
chnv,70,0,135,0
qedu,54,441,352,1
qtiv,1978,8543,623,0
rgnc,4539,518,134,1
zhjj,65,107,290,0
drcu,88,20,35,0
pozz,822,2784,10,1
ljqe,2161,529,1841,0
dzmk,33,12,52,0
puug,32,171,1679,1
hiyy,539,540,12,1
rxvz,26,48,417,1
grwf,4710,3501,86,1
drkh,30,66,103,0
wnve,4207,181,527,1
mfrc,4309,535,98,1
jebd,22,465,168,1
thhz,3408,23,641,0
irqg,1862,6369,19,0
zpnn,96,149,289,1
eweu,68,7829,19,1
cnwr,4240,113,7,0
phbq,4832,509,11,1
ovlm,3810,1952,23,0
lowc,13,302,25,0
ufyk,742,414,17,1
fsnv,3889,534,755,1
gpfw,93,141,224,0
cypn,40,563,413,0
znlx,8,291,56,0
vqpe,2858,165,600,1
leec,33,109,1118,1
eiid,4737,318,0,1
gzzy,0,108,586,1
fjgx,69,1005,24,1
drss,15,428,308,0
aado,96,13,500,1
sfox,2691,73,499,1
qvxv,3437,35,4,0
qewx,4027,485,640,0
ipmw,42,7349,36,0
etjh,3599,596,11,1
efub,85,8764,475,1
vpwf,3590,228,1952,0
icwy,3898,5115,25,0
ukcl,71,285,10,1
fegz,71,891,19,1
goxs,3895,410,886,1
hdwd,4637,559,366,1
tqdo,586,78,21,1
srhu,78,2925,217,1
tvyf,1316,2856,625,0
lros,43,194,546,0
pyiw,94,4395,19,0
skst,71,12,296,0
jkfd,81,2246,330,1
utpc,80,6025,394,1
wxib,1,466,5,0
gnhi,3773,71,650,1
lavq,40,148,568,1
wvoj,3027,131,7,1
djdz,607,86,1537,1
kuok,3972,81,1814,0
rczo,3984,6501,3,1
ewyn,8,120,168,0
gkdv,3045,115,12,1
bady,77,465,230,0
kfyg,3674,13,20,0
umuf,72,281,580,0
gkgt,63,8087,19,0
tohj,814,152,13,0
bpiz,3146,6186,400,0
maah,2988,80,17,0
xmbx,2411,7,409,1
lowz,3157,83,1815,0
bhtk,100,85,15,1
zxca,10,149,1,1
uvth,2837,161,1206,0
psem,54,778,4,1
pvhk,3608,81,533,0
vtgh,33,2203,8,1
lojm,92,33,1,0
jgjt,4429,340,552,0
bxvv,11,191,3,1
vhtb,65,363,221,0
mujq,2216,88,619,0
fxhn,3421,5563,528,0
kkot,33,419,465,0
ltvk,0,34,0,0
pofc,4881,6868,162,1
diqw,39,73,16,0
bvmz,34,81,32,1
pgzk,1629,8868,19,0
qxlj,2618,348,2,1
voou,16,311,240,1
pybb,4343,6400,5,0
oxub,88,8685,301,0
qcex,1,219,185,1
dzrb,71,101,67,1
igkj,82,53,168,0
lscm,73,44,1200,1
olog,4592,383,603,1
jyou,1207,10,267,1
lljr,2168,222,10,0
mbmv,4782,141,43,1
vdvv,4267,100,168,0
sihq,88,8444,18,1
urco,3418,8875,505,0
vdlw,56,561,577,0
vamt,29,5543,259,1
iqxr,62,26,287,1
fefw,583,275,909,0
rsso,735,359,68,0
bebu,15,326,20,1
hrhh,2585,7857,647,1
rgvj,468,246,18,1
mcwh,496,123,369,0
eujl,65,19,23,1
tjbl,63,415,507,0
hmoj,2184,234,281,1
qevr,75,8,11,0
qwse,24,1,576,1
udtl,14,1541,623,1
zywn,3410,546,229,0
bjpb,27,313,20,1
dznz,3992,373,50,0
dvzz,28,540,83,0
lily,2108,8237,48,0
neww,100,542,11,0
cdmy,11,54,200,1
wqih,5,76,273,1
llel,8,5,1605,0
drvv,23,3699,1083,0
rzkp,46,293,210,0
eske,42,467,65,0
xobh,135,541,24,0
oaws,688,551,157,0
drdq,77,698,80,0
rqoc,1636,76,821,0
blxk,71,4552,2,0
sfia,26,8537,650,1
xzfe,2758,15,13,0
xqxo,815,94,1,0
rxkm,4675,8778,168,1
ntfq,45,190,517,0
mfrt,22,95,207,0
vnyt,8,69,55,0
xxct,3980,114,77,1
lioh,3100,7165,522,0
viab,77,86,501,0
hkqw,3324,340,11,0
rrvt,79,313,759,0
rboq,7,4846,117,0
mbqf,735,538,299,1
zcwr,14,4027,435,1
yqup,81,433,625,0
sdcd,663,533,499,0
tukh,33,116,649,0
oike,2754,132,774,0
ziwc,1771,349,161,1
gfph,189,124,178,0
iwgh,41,4079,209,0
vean,27,92,523,0
zbgz,1655,585,589,0
gfxi,1438,263,1567,1
gtmp,57,497,501,0
krka,13,29,1017,0
feib,4463,65,348,1
xfet,93,353,1825,1
fvjp,155,13,7,0
yagu,58,569,7,0
ahou,93,5,2,1
gine,13,0,123,0
gzvq,3584,59,1808,1
oovn,2354,163,1470,1
rsph,1734,522,440,0
gqwq,44,49,1267,1
pmlw,1303,352,234,1
hxwf,4387,936,444,0
kiip,92,352,1764,0
elas,53,191,498,0
enfv,2331,22,459,1
sfle,86,103,19,0
qwji,1849,328,786,1
fjef,907,380,173,1
tuwd,28,29,801,1
yypt,76,39,1398,1
hnmv,3903,37,16,1
umoy,1655,95,164,0
cxhh,27,272,3,1
sybp,82,5313,8,1
wnfs,59,85,22,0
uufh,3799,6731,860,1
kjio,653,514,244,0
igiu,16,1546,125,0
azvi,55,382,486,1
hdke,2001,468,632,1
wnzf,64,561,116,1
hqgs,1493,5973,1257,1
ohya,522,50,1106,0
wfdg,60,5905,629,1
vtvh,1320,292,5,0
ndth,6,556,417,1
cuca,10,69,599,0
vksj,76,5921,0,0
nqqa,7,569,910,0
igvs,46,24,428,1
rwbs,4453,368,591,0
jitn,2617,8,150,0
mfmf,3829,71,581,0
vtzd,695,8627,448,0
adpb,55,460,533,1
fcwf,93,526,628,0
zyhi,3834,335,11,1
svct,9,111,17,0
efau,3508,25,266,1
amlc,86,565,22,1
oxqw,1999,3430,10,1
rlyr,4775,3032,11,0
rdmu,89,67,2,0
ufmr,79,355,6,1
qluh,2578,84,12,1
bhco,3912,229,466,1
dihg,31,431,557,1
cyfe,35,206,171,1
gxxm,4629,1124,318,0
nkqy,6,364,777,0
dbax,64,171,289,0
oqrv,51,444,565,1
ytfm,4129,113,43,0
epmf,1580,27,557,0
mumg,24,60,627,0
svxv,30,1737,189,1
cajq,63,147,1172,1
ivhr,68,418,22,1
rspv,3942,342,429,0
kkid,88,299,560,0
yybl,61,102,555,0
dfpt,3064,346,456,0
qdtt,4798,245,65,1
hlne,4,480,21,1
akpr,2314,8414,562,0
jnek,21,134,239,0
xhhh,83,68,24,0
royy,6,546,19,0
cpsd,3829,262,1015,0
bpcw,1235,143,99,0
qmaw,97,42,236,1
ficc,69,69,305,1
itgs,1527,192,830,0
hxke,476,98,16,1
uzhi,68,2043,20,0
caoh,828,5403,102,1
kkxx,78,437,15,0
atvf,53,362,15,0
lgmo,338,6090,446,0
anyt,32,113,133,0
dqom,910,262,773,0
cpnr,56,6152,1207,1
amlz,81,103,38,1
nvht,24,33,610,0
tojj,4994,572,1324,1
mrje,33,7525,358,0
mhcy,57,5508,21,1
wcla,4467,144,456,0
qlqy,1835,9,346,1
sbry,4984,338,183,0
woza,3275,3837,545,1
nxqn,4033,152,367,1
xryt,25,472,24,0
ecps,436,3797,402,1
fdju,1887,55,57,0
cvug,88,234,1647,0
ikah,4257,2409,200,0
phqx,593,387,317,1
bpmt,45,435,258,1
lvss,4068,130,198,1
vkah,90,591,1559,1
jxqr,10,26,133,1
jrtu,4523,2707,99,0
qqxm,4699,425,17,1
asfy,49,89,606,0
gjbv,1013,59,251,0
thag,99,271,750,0
qbkb,766,5144,21,1
xjah,2781,121,226,0
ttuh,67,77,559,0
oddh,778,5467,2,0
sxzp,61,447,559,1
waog,767,395,288,1
mveg,497,342,999,0
vvya,2005,76,153,1
oxeq,13,358,937,1
usxv,27,107,1475,1
xpsl,91,61,628,0
niww,1729,6825,496,0
xjsu,36,273,421,0
wyhq,3734,322,15,0
tllv,2289,486,396,1
guvk,600,135,32,1
polq,72,40,17,1
eufn,3543,4444,34,1
fucs,3296,1429,94,0
xssl,34,494,1867,0
wvtw,25,57,1745,0
lllj,2195,317,1,1
jfwj,3833,4257,188,0
dsyu,28,23,179,0
xygk,4789,120,143,1
jtvz,44,80,316,1
fxhl,1182,253,0,0
vjnl,2103,255,15,1
rxxd,44,236,411,1
camn,2794,241,437,1
srbv,37,2033,52,0
decd,76,568,3,0
vxxz,3200,413,27,1
gdrh,18,106,18,1
qyky,85,350,725,0
pqjg,96,509,4,1
wtgt,2778,334,296,1
prql,56,426,11,0
zkpr,26,7809,5,0
pgss,892,6212,1060,1
pvsx,44,5876,875,1
vebu,10,3636,1940,1
sbgu,39,130,89,1
zqfb,49,104,410,1
jqct,1130,125,609,0
fvnh,56,7453,628,1
qesx,187,55,121,1
leuf,32,231,506,0
nnxj,30,581,583,0
foum,11,7791,18,0
qmzr,19,591,598,0
cklb,82,63,1,0
dwaq,13,98,97,0
bkjj,27,54,376,1
nxmn,40,115,516,1
twpa,3690,29,814,1
vzvx,468,101,15,0
ywvv,2458,256,160,1
uzru,4017,110,1783,0
kncl,23,211,358,1
uumv,2416,4491,415,1
qway,3945,432,1465,1
gdyr,33,162,955,0
qcbk,69,265,443,1
fepv,2258,278,1192,1
xfeb,37,1517,23,1
bski,80,338,282,1
cfra,71,409,406,0
hbzd,83,38,358,1
icxb,60,234,1990,1
rwvz,98,52,13,0
yomj,4814,7638,405,1
porv,47,406,18,1
ebog,46,77,1532,0
mnkx,1713,17,7,0
atwx,70,134,1359,1
bvvc,84,463,102,1
ykbo,1451,445,837,1
anrk,10,64,505,0
qfgc,1395,289,498,1
rclz,42,157,13,0
yhrq,4280,4280,0,0
wknq,863,263,10,0
mgpj,69,445,1280,1
ehnn,1203,467,321,1
cudl,3436,2395,168,1
jheg,4050,140,5,1
xiwv,1094,7739,216,0
exfx,1728,50,292,0
zpho,34,590,390,1
vdyf,1417,440,569,0
clbl,3657,183,329,1
zgvy,26,94,458,1
rfgf,515,216,22,1
pjnn,2672,233,494,0
rttv,59,530,375,1
zyhl,2782,178,22,0
qbfv,95,800,6,1
bjls,90,6372,285,0
vldx,6,195,408,1
tnro,98,400,1778,0
gmij,1135,4797,2,0
boua,4149,131,4,0
ndir,80,147,8,1
bakx,28,4011,1534,1
azbh,80,143,16,0
gere,1627,72,11,0
wqez,71,900,468,1
rxxn,32,381,404,1
dyph,80,133,1358,0
idbt,126,80,1211,0
zofx,3324,71,1031,1
zmkw,1,266,24,1
wwfp,2679,8645,12,0
jnrp,37,4135,209,1
ofhy,137,88,225,0
keag,4346,361,258,0
uili,3063,147,3,0
plnn,96,209,49,0
jtou,31,462,49,1
gjmd,4363,586,429,0
gjgo,4173,4083,13,0
xyty,90,4221,1035,0
cwru,14,19,1912,0
oeoo,6,203,18,1
zwma,1855,113,636,0
swtp,100,650,597,0
sqew,2488,366,309,1
jofc,2943,107,469,1
ykkd,3083,481,393,0
vuqf,43,286,264,0
onfr,2856,6363,13,0
azwi,2550,14,25,0
bqzm,4509,70,505,0
hqme,3997,5040,1599,0
cppf,1443,453,853,1
qxnl,47,516,1,0
ykdj,80,51,138,0
cium,676,5625,544,0
hkgn,2217,5983,916,1
bqpu,2412,6330,300,1
jhga,2034,587,870,0
waty,30,8651,388,1
oabs,30,66,1286,1
oxlk,4505,586,80,1
vnmj,564,290,201,1
igcm,46,68,503,0
vwhd,3362,358,51,0
lqcg,74,301,176,0
sjxa,89,335,6,0
gbby,3194,595,1,0
zhuz,29,324,111,1
duhw,24,3079,284,1
jvfw,68,481,629,1
ogpj,344,109,579,0
sizu,23,7808,0,0
hrvz,63,238,9,0
xvjg,737,134,566,1
ndom,129,8787,17,1
cvju,4330,337,15,1
rmls,42,514,13,1
obha,26,6738,94,0
yvkg,2415,579,157,0
cdem,41,4802,1743,1
uqop,2946,75,527,1
sykp,19,67,419,1
fyjs,286,5931,19,0
jigv,1321,230,18,0
wjxv,58,369,42,0
eabm,2861,7063,1685,1
dkre,86,420,21,0
pomx,1812,419,16,1
wqvl,67,1420,1506,0
veyd,34,249,511,0
jbdx,49,4940,122,1
gyba,1847,571,194,0
lxyg,80,70,109,1
ebuh,79,2861,7,1
tsia,2573,10,273,1
tgkw,448,6535,236,0
slnx,2237,381,140,1
admj,850,437,625,1
kmlb,94,73,175,0
kwrd,4973,570,525,0
xgui,13,102,72,1
meks,80,15,3,0
hdcc,72,8025,7,1
fgjw,4957,293,259,1
lvnt,29,1155,231,1
htqq,55,102,1251,0
jtlo,3708,575,13,0
kpfv,2458,518,286,1
sgjy,51,93,641,1
agqj,36,2,196,0
hjtg,4030,4078,1343,1
ginx,1309,467,4,1
ecno,29,280,11,0
zgje,89,130,834,0
moms,4639,315,606,0
daei,56,304,325,1
xhmo,1918,7096,1295,0
wmdm,45,91,1199,1
lzgy,68,79,76,0
mcyx,90,31,541,1
plmf,817,89,602,0
zdia,4566,158,3,0
qxsz,44,4531,283,0
ziis,3181,280,59,1
xvqq,66,6704,380,1
vxyd,65,306,6,0
aehs,929,130,713,1
nghz,1631,168,0,0
eihv,2205,423,543,0
czwb,602,343,11,0
answ,52,58,12,0
cacq,88,348,260,1
bgpg,57,7084,24,1
bxzk,68,386,424,1
hhrr,3504,52,262,0
eiiu,39,545,16,0
okra,5,595,1776,0
zsrh,1642,330,12,0
huyx,4414,586,585,0
hxyu,608,512,471,0
enbx,59,394,366,0
wped,4,190,142,1
mgdd,44,119,533,0
akst,52,6717,480,0
iiqc,1105,1710,441,1
ceko,100,111,266,1
xoek,38,370,175,0
bvda,3729,123,572,0
kgxr,3350,451,558,0
yswp,61,42,3,0
jmft,2708,436,1817,0
mfss,3205,131,1342,0
fucj,3970,570,3,0
shdd,303,4250,480,0
mtow,2876,80,17,0
mzgw,12,158,962,1
ljin,2126,6510,415,0
lwcy,36,5226,20,1
puxb,97,265,1147,0
taed,1244,483,279,0
nafj,59,7156,437,1
szgt,60,5470,255,0
puzq,21,489,7,0
lewo,782,8332,820,0
kiut,91,58,148,1
dqnh,4053,557,739,1
khhd,4319,5764,21,1
nlbr,4860,6892,6,1
zypo,4178,290,386,1
mitx,2252,479,16,0
aedn,46,113,566,0
lyah,100,374,1884,0
jwku,2158,370,352,1
mmfw,301,280,357,0
aozi,1045,232,358,1
gire,2764,592,311,1
ounv,3131,397,567,1
jjal,53,133,406,1
qmfl,500,153,24,1
ezqo,3,164,246,1
hbbt,3499,57,564,0
ngdi,81,270,111,1
zkvj,25,7106,8,1
rzzi,3489,418,242,1
ajhk,89,70,18,1
llnu,18,96,252,0
rqfx,41,8217,1176,0
lqyi,84,145,74,1
rdkf,3,93,334,0
vzck,95,113,539,1
fxxq,48,567,116,0
uynm,1082,591,25,1
zmuy,76,7712,377,1
nbnn,817,265,872,0
bbzq,1723,186,12,1
tegg,3821,4725,20,1
vhgn,84,138,24,0
pcus,36,286,1833,0
tuok,54,100,21,1
cjqd,49,3919,271,1
yyra,19,2071,81,1
tsmr,1385,139,78,1
fclp,26,144,1423,1
ppma,1599,112,475,0
hqlj,2788,40,186,0
jaxp,388,8351,960,0
ipyr,1983,112,30,1
hcqn,2051,2276,510,0
laon,735,419,592,0
nwnz,57,477,9,1
lojd,25,2887,19,1
lklv,4657,17,9,1
aiih,912,1901,22,1
skje,9,301,24,1
cbiz,2146,19,107,0
ajvb,32,360,157,0
woex,1,235,223,0
xxzh,3052,6803,1278,0
rbct,71,104,545,1
addg,25,600,635,0
vrgl,2036,117,1915,0
qwxn,4756,3226,272,0
kapu,38,15,20,1
ysfx,1065,2899,103,0
bltq,2720,6,2,0
