corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
kutk,901,167,17,0
ieca,41,5416,14,0
bhif,385,429,0,0
nomk,1399,2051,17,0
ciip,2914,216,24,1
bqnz,95,339,3534,1
iqxj,26,892,210,1
vtyf,2627,716,3289,0
jcha,77,85,688,0
spbu,70,148,20,0
joxn,1698,5,241,0
uitf,1902,501,177,0
zcij,22,82,913,1
epoi,39,157,4,0
gdng,86,894,2480,0
ikaq,1553,188,137,0
fnjz,169,9112,2750,1
idha,18,399,4,0
cymk,13,339,91,1
imwz,68,368,23,1
hcul,71,8916,980,1
qbhm,595,161,220,0
usdh,76,362,95,1
vjxi,79,102,203,0
wvpn,923,110,143,1
pcvd,75,180,17,0
xmop,1190,7951,13,1
ggcx,739,429,123,1
qeje,68,489,117,0
cfcj,2560,326,246,1
tils,328,1045,2,0
qxso,802,725,11,0
bdzc,2646,302,3780,1
bail,64,25,11,1
nynj,159,551,3217,1
lnvd,1393,615,126,1
bios,92,289,18,0
gytf,3,6574,25,0
zviv,92,999,19,1
jvja,2653,318,0,1
nonz,947,6835,18,1
jmxm,2354,1062,39,1
aama,75,1007,3,0
pylq,23,988,197,1
gnkh,48,72,32,0
wcab,93,784,59,0
zszk,4,573,35,1
bwtx,67,537,6,0
aqmo,1817,787,1,1
efmy,57,854,241,1
zgma,31,845,190,1
ncnx,2455,3911,119,1
rdab,38,621,229,0
vnvx,2281,93,129,1
igbg,2912,792,1808,1
wpfx,113,794,14,1
vyfg,2035,734,26,0
noev,1558,324,16,0
pxjf,15,1093,2109,0
mxde,6,8430,120,1
nrop,633,958,136,1
vvvy,162,100,98,0
jded,456,1071,115,0
ewsi,1494,1100,132,0
jghn,20,805,14,1
cjop,1,16,149,1
ifpr,1283,172,18,0
vcqc,658,205,114,1
fryd,76,841,710,0
pqbe,92,629,2953,0
nyrf,743,412,20,1
grrl,30,24,449,1
okfx,28,5259,79,1
wyzm,91,2384,206,1
jhye,221,118,2587,0
zghl,4,70,119,0
bvth,29,715,119,1
mbcg,2175,439,124,0
bosm,2682,53,54,0
jzxh,1,8198,184,1
uttr,61,307,45,0
ysba,25,6675,213,0
iqff,86,782,3059,1
zxmg,72,107,6,0
jrgt,60,637,16,1
klxx,91,300,7,0
zofp,986,5628,117,1
cqfu,77,9596,1375,1
wnmy,40,152,25,0
ogqi,63,6,105,1
joyv,2063,719,12,0
bmux,60,9493,250,1
fewq,1811,172,41,0
slvy,57,21,228,1
rjlz,937,1068,2356,1
rgpi,8,199,44,0
owbk,2403,371,2501,1
jskz,91,152,106,1
wnjj,22,611,87,0
kgyb,61,599,19,0
yvht,76,164,99,1
ojla,86,356,3,0
axgz,2976,713,4,1
tzlb,0,421,1291,0
ijba,28,324,103,0
tjrl,342,161,1484,0
rcyn,40,710,1078,0
txfv,67,4,118,0
yfgm,24,501,2187,1
vggp,93,700,3302,1
ftit,68,95,7,1
jfdl,630,144,4,1
tknt,26,308,18,1
gymd,57,566,181,1
sdqd,98,288,184,1
whag,94,8225,206,1
aloj,2742,3,2158,0
ruhg,240,129,14,1
rrfk,38,297,3231,0
vmvi,3,9026,2733,1
wwvx,645,3394,8,1
cgzy,1994,134,6,1
enua,50,764,6,0
ufgv,2121,801,2001,1
cjam,2869,10426,233,0
hyff,11,1012,93,1
yfey,922,760,3432,1
rtbs,320,256,148,1
sslk,89,844,33,0
tnxh,1188,209,176,1
lzdx,98,668,3,0
ouva,63,1099,1938,1
vgdv,99,491,1,0
uuzs,2830,115,2692,1
hxxe,2569,364,9,1
tkny,2375,7923,16,0
rubg,53,9264,233,0
wbyz,42,10,59,0
kovo,2171,301,181,1
ivgs,2296,147,104,1
walw,5,489,1,1
entw,10,257,2634,0
rqyu,462,917,11,1
zbdh,50,62,125,0
czqi,1988,122,84,0
jtcm,96,349,7,1
pksc,9,255,21,0
rriv,1108,954,101,1
fepf,83,205,38,0
gojz,2558,79,10,1
tpvz,59,79,2997,0
zbjc,93,998,178,1
tyds,1215,978,135,1
kzgd,1203,5405,212,1
rgdp,1557,113,3710,0
dztj,2202,7088,204,1
oakj,15,1695,63,0
hbmk,1090,9185,24,0
xcxw,1326,645,233,1
wgjn,2099,202,419,0
ejuy,222,246,2539,0
vodl,68,799,102,0
mrbo,79,53,74,1
ecgc,81,117,247,0
nill,2770,8755,1656,0
zzng,59,387,218,0
pias,2445,222,22,1
kanq,2380,337,3590,1
sfzi,51,65,157,0
vkhl,1200,338,1991,1
onco,97,7593,3795,0
rnlb,58,522,25,0
bsly,2002,356,3554,1
wdbc,43,283,16,0
jsiu,350,1006,19,0
ljap,91,9,212,0
kwgq,100,831,1186,0
xunc,2671,868,120,0
aean,86,351,59,0
gfzp,2347,7004,161,1
ptfn,1593,105,227,1
qnjy,1761,160,736,1
iqsx,2519,6460,18,1
jegp,2118,97,139,1
tgrr,2771,582,15,1
afpw,31,111,174,0
eqvh,99,895,0,0
otvl,2909,5316,250,1
wvma,1066,73,11,1
affw,35,3363,24,1
uidt,1802,656,146,1
srjp,2936,314,218,1
bgen,2128,283,227,1
hqxc,1676,880,17,1
mwjj,39,70,95,1
hdjj,1526,880,11,0
pwnm,1,354,7,0
wbmt,35,1080,3198,0
cboc,471,624,18,0
pakh,137,409,216,1
wlwm,46,764,98,0
ujbg,7,115,19,1
qhaf,81,204,243,1
pfgz,1457,450,3956,1
rylc,2354,99,3161,0
wssl,457,64,22,0
aass,10,528,65,1
eqku,290,999,3058,0
pawi,2994,831,9,1
nexh,1508,40,3,1
qldh,1900,9516,186,1
nsts,28,8720,12,0
gmmm,79,294,2688,1
scit,2759,137,12,1
thxt,49,19,12,1
yvun,33,896,3,1
pbkh,58,86,3040,1
vhgi,99,4419,75,0
ahbs,204,10556,71,0
iszc,1305,1079,10,1
pqpb,1874,318,464,0
mirk,2613,6,1339,0
jgqz,2192,230,199,0
ecpz,509,300,37,1
ktfj,84,3052,25,1
uaig,56,1885,22,1
lgez,2258,4,16,1
aqmc,2306,381,228,1
rsen,93,1073,1663,1
vbel,28,571,71,1
lpzj,590,165,43,0
lqpa,40,96,6,0
fdxq,2688,549,2224,1
uunu,2621,121,64,0
dfiu,93,180,230,1
kmvq,472,401,6,0
dztd,1294,1066,2859,0
ujit,55,967,4,0
dpof,2428,9255,574,0
cmbj,1062,868,70,1
egab,1224,360,23,1
zedg,92,28,233,0
qeyr,87,201,1512,1
vxfn,1012,319,6,0
ymsq,80,8234,3511,1
cnfy,417,458,14,0
pmpa,455,976,62,1
reut,1633,19,21,1
csrf,34,1240,67,0
ajxi,99,4573,238,1
yjdn,1267,1010,16,1
zhas,61,133,1801,0
yguj,80,6119,7,1
ehhe,96,915,2188,0
cmci,913,7,1564,0
nfhr,29,43,219,0
etww,320,812,108,1
hacl,1567,152,22,0
kahk,417,245,3566,1
dxio,2715,5756,230,1
mreo,1,168,15,0
zlpb,3,7097,167,1
wrdl,80,268,3720,1
dloj,10,6278,2977,1
feer,71,9822,106,1
zvbx,1961,843,3230,0
cqzq,71,804,2702,0
wlvr,2577,180,11,0
gywy,2891,194,106,0
hxfz,7,551,14,1
ihdh,2572,440,2060,1
ssqf,743,428,224,0
hwva,46,4699,80,1
quog,86,398,68,0
lqpz,22,324,1877,1
prvx,56,198,18,1
iylq,68,10372,7,0
ymyw,1338,1002,24,1
youb,277,496,4,0
eeyw,49,10043,9,1
ftul,5,309,23,1
tayl,260,212,85,0
kzbr,28,1098,10,0
bonw,85,338,131,0
vxaq,56,108,14,1
vvvz,977,6713,4,0
ldap,70,8266,1857,0
dvqq,2383,2144,176,1
wbcm,1045,3279,74,1
cpfv,2415,77,117,1
tcvp,1787,987,13,1
uxar,74,1669,3926,0
mdsh,773,337,962,1
uked,73,617,1,0
fsoy,2128,0,151,1
vsnt,2092,1096,85,0
hwfy,74,81,196,0
gpwu,827,9232,18,1
afmh,74,8712,84,1
apyu,87,1086,3022,0
mktt,71,13,2698,0
sfvy,14,305,673,1
ygnu,2180,242,4,0
nuam,30,957,75,0
umro,56,14,1728,1
gapa,17,489,223,1
gtms,536,5198,13,1
mpdd,100,647,203,0
mfla,1997,192,1158,0
bypn,16,7576,148,1
vpyj,42,378,14,0
rucg,2911,217,2499,1
jjje,82,439,57,1
abaz,77,193,85,1
irnp,2751,889,158,0
sfnt,60,860,0,1
ddpb,52,944,93,1
rpkx,91,35,104,1
kwat,1437,281,178,0
qdap,49,462,43,1
kvnf,26,1896,217,0
ldhh,1734,8354,34,0
rzjp,2,837,18,0
qwwo,87,1073,2017,0
anor,2865,2919,203,0
ykol,1378,445,86,1
yncf,2697,343,239,0
geky,4,448,6,1
vxip,84,4898,31,1
bfbu,95,9672,174,0
coix,1554,156,16,1
ttsq,245,316,186,1
qehs,2821,779,89,0
czlm,2065,381,74,1
rqpk,60,953,120,1
qzhw,1607,223,20,1
jinm,91,259,3,0
sgrb,72,119,4,0
rfoe,122,206,21,1
plzn,1762,10673,241,1
hyac,47,8001,20,1
rkie,2155,27,1989,0
xiou,79,208,22,1
sdyh,85,6087,167,0
uzqq,728,309,1890,0
nqxy,2509,3369,2459,0
tfgy,1960,267,204,0
czwx,1874,7036,1983,0
phsi,1201,312,2750,0
oyoe,39,7402,98,1
izko,36,249,18,0
wtls,1842,8800,245,0
fbam,13,1052,12,1
baym,2550,9246,11,0
uohf,1042,963,18,1
onkn,2579,373,105,1
nruq,20,927,32,0
fljq,37,1064,106,1
zvpl,26,749,22,1
ghdp,949,13,19,0
hkpm,425,674,1894,1
wmbc,2522,129,37,1
itmp,51,7310,6,0
yrsc,20,7556,9,0
jslv,1507,389,62,1
ifvc,99,4672,22,1
cpez,58,468,1857,1
bnfl,65,1050,121,1
yzvu,1813,158,16,1
dfrx,77,222,164,1
vejr,280,83,3792,0
nnww,30,2433,16,1
nyrp,69,27,105,1
boze,894,3735,173,0
wahi,88,8133,13,1
bakv,2913,253,3880,1
rlfd,2167,69,174,0
orlx,821,8316,71,1
qmwk,1234,937,15,1
yeyu,44,293,24,0
xxms,2814,940,13,0
jwvv,52,771,224,1
